MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL50031      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.0073	2.01135	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-150.003	1.30312	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0029	3.99483	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.999	58.554	-	-	-	-	G
CHEMBL50031      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.995	11.3535	-	-	-	-	G
CHEMBL50031      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	90.2816	8.35763	-	-	-	-	G
CHEMBL179732      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	-90.0021	8.30904	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.995	11.3535	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0076	3.99483	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL179732      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.994	11.3535	-	-	-	-	G
CHEMBL179732      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	-89.7225	8.30904	-	-	-	-	G
CHEMBL223549      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.9999	18.481	-	-	-	-	G
