MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C38792916      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-0.0252331	20.0453	-	-	-	-	G
C38792916      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.00362839	74.4927	-	-	-	-	G
C38792916      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	-60.0043	0.0287274	-	-	-	-	R
C38792916      none	B	[!#1:1][CX4:2]!@[CX3H0:3][!#1:4]	-30.294	1.75844	-	-	-	-	G
C38792916      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	59.9937	3.42939	-	-	-	-	G
C44251906      none	B	[c:1][c:2](c)!@[O:3][$(C([F])([F])[F]):4]	-89.9973	16.129	-	-	-	-	G
C44251906      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-0.00238714	17.837	-	-	-	-	G
C44251906      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.006	3.7643	-	-	-	-	G
C44251906      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9957	12.3771	-	-	-	-	G
C44251906      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	30.0036	4.22116	-	-	-	-	G
C44992956      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0093	12.3771	-	-	-	-	G
C44992956      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	40.3713	2.08461	-	-	-	-	G
C44992956      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C44992956      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.9934	15.3058	-	-	-	-	G
C44992956      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	39.9985	1.66292	-	-	-	-	G
C44992956      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	179.998	13.4277	-	-	-	-	G
C44992956      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	150	0.884397	-	-	-	-	O
C44992956      none	B	[cH1:1][c:2]([nX2])!@[O:3][C:4]	-179.716	59.0909	-	-	-	-	G
C37626112      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]Cl)[cH:4]	30.0001	4.71698	-	-	-	-	G
C37626112      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000732737	63.7893	-	-	-	-	G
C37626112      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-59.992	0.14881	-	-	-	-	O
C37626112      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	89.9976	7.35439	-	-	-	-	G
C37626112      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0055261	63.7893	-	-	-	-	G
C37626112      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	60.0118	0.14881	-	-	-	-	R
C37627947      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-0.00536661	8.26772	-	-	-	-	G
C37627947      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00162619	63.7893	-	-	-	-	G
C37627947      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-149.994	3.58916	-	-	-	-	G
C37627947      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9944	12.3771	-	-	-	-	G
C37627947      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	59.9975	1.60569	-	-	-	-	O
C53042833      none	B	[CX3:1]=[CX3:2]!@[CH2:3][c:4]	119.998	10.582	-	-	-	-	G
C53042833      none	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	134.996	0.40107	-	-	-	-	R
C53042833      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	120	0.35639	-	-	-	-	R
C53042833      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-150	1.28448	-	-	-	-	O
C53042833      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0021	3.99483	-	-	-	-	G
C53042833      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	-134.69	0.908865	-	-	-	-	O
C53042833      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	89.9941	7.24386	-	-	-	-	G
C52921380      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0048	3.77933	-	-	-	-	G
C52921380      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	150.002	0.884397	-	-	-	-	O
C52921380      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-149.726	0.243246	-	-	-	-	R
C52921380      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-152.696	3.72593	-	-	-	-	G
C52921380      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	149.999	1.58619	-	-	-	-	G
C52921380      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	120.003	8.78049	-	-	-	-	G
C03006945      none	B	[$([C](=O)):1][NX3:2]!@[a:3](s)[a:4]	179.971	61.7021	-	-	-	-	G
C03006945      none	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	-89.9876	0	-	-	-	-	R
C03006945      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00319567	63.7893	-	-	-	-	G
C03006945      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	153.004	9.05971	-	-	-	-	G
C03006945      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-90.0023	12.5987	-	-	-	-	G
C03006945      none	B	[c:1][$(S(=O)=O):2]!@[NX3H0:3][C:4]	-60.0019	7.66773	-	-	-	-	G
C03006945      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-59.9992	0	-	-	-	-	R
C03006945      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H2:3][!#1:4]	89.9957	6.68103	-	-	-	-	G
C03006945      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	119.999	8.78049	-	-	-	-	G
C03006945      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	89.9975	5.15376	-	-	-	-	G
C65397087      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	0.0083499	2.24426	-	-	-	-	O
C65397087      none	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-153.217	2.87059	-	-	-	-	G
C65397087      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-29.9997	1.21216	-	-	-	-	G
C65397087      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00551183	63.7893	-	-	-	-	G
C65397087      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	30.0054	9.46757	-	-	-	-	G
C12918200      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	60.0002	15.3058	-	-	-	-	G
C12918200      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-160.001	2.15596	-	-	-	-	G
C12918200      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	29.9987	5.20833	-	-	-	-	G
C12918200      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000263525	63.7893	-	-	-	-	G
C12918200      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	30.0005	5.05437	-	-	-	-	G
C12918200      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-59.9972	0.14881	-	-	-	-	O
C12918200      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00970247	63.7893	-	-	-	-	G
C12918200      none	B	[$(C=O):1][NX3H1:2]!@[CX4H0:3][C:4]	60.0026	13.3187	-	-	-	-	G
C37481878      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	118.272	0.766617	-	-	-	-	O
C37481878      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	0.00291407	25.0866	-	-	-	-	G
C37481878      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-0.00271757	9.82143	-	-	-	-	G
C37481878      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	119.998	2.76407	-	-	-	-	O
C37481878      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00774929	63.7893	-	-	-	-	G
C37481878      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	119.997	0.595238	-	-	-	-	G
CHEMBL290381      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.00744767	74.4927	-	-	-	-	G
CHEMBL290381      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-179.73	13.4921	-	-	-	-	G
CHEMBL290381      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-90.2828	11.9355	-	-	-	-	G
CHEMBL290381      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL290381      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL290381      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	135	0.637484	-	-	-	-	R
C58223424      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	149.988	3.7643	-	-	-	-	G
C58223424      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-32.0016	6.97413	-	-	-	-	G
C58223424      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	30.5673	2.54993	-	-	-	-	G
C58223424      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00100029	63.7893	-	-	-	-	G
C58223424      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	150.002	0.887211	-	-	-	-	O
C58223424      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	89.9946	14.7896	-	-	-	-	G
C61145194      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	60.0001	15.3058	-	-	-	-	G
C61145194      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-30.001	0.692521	-	-	-	-	O
C61145194      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-88.9722	0.479136	-	-	-	-	O
C61145194      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-90.0073	0.352274	-	-	-	-	R
C50986550      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C50986550      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	90.0006	10.0586	-	-	-	-	G
C50986550      none	B	[cH0:1][c:2]!@[CX4H1:3][CX3:4]	174.344	1.28806	-	-	-	-	O
C50986550      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	180	26.896	-	-	-	-	G
C50986550      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	180	48.7454	-	-	-	-	G
C41104824      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	90.0018	13.2097	-	-	-	-	G
C41104824      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9986	3.77933	-	-	-	-	G
C41104824      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C41104824      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.9995	15.3058	-	-	-	-	G
C41104824      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-40.0049	2.20693	-	-	-	-	G
C41104824      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	149.995	3.15253	-	-	-	-	G
C14748887      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-135.003	1.61199	-	-	-	-	O
C14748887      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.998	11.3535	-	-	-	-	G
C14748887      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-179.727	14.7347	-	-	-	-	G
C14748887      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-26.9727	8.39053	-	-	-	-	G
C14748887      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-89.9973	12.5987	-	-	-	-	G
C14748887      none	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	-60.0064	13.7514	-	-	-	-	G
C14748887      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00463026	63.7893	-	-	-	-	G
C14748887      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	29.9985	5.05437	-	-	-	-	G
C40508435      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-1.96648	6.89233	-	-	-	-	G
C40508435      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-59.9953	15.3415	-	-	-	-	G
C40508435      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0037	3.77933	-	-	-	-	G
C40508435      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	0.00225221	11.7061	-	-	-	-	G
C40508435      none	B	[O:1]=[C:2]!@[NX3H1:3](C=O)[H:4]	-0.00257393	23.6842	-	-	-	-	G
C40508435      none	B	[O:1]=[C:2]!@[NX3H1:3](C=O)[H:4]	180	35.6725	-	-	-	-	G
C40508435      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-179.709	18.2537	-	-	-	-	G
C38083656      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
C38083656      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	149.999	1.43139	-	-	-	-	O
C38083656      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000984285	63.7893	-	-	-	-	G
C38083656      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	60.002	0.592386	-	-	-	-	G
C38083656      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-79.9964	1.71775	-	-	-	-	G
C38083656      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-0.00567378	18.7883	-	-	-	-	G
CHEMBL36986      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	179.996	13.4921	-	-	-	-	G
CHEMBL36986      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	134.998	0.481013	-	-	-	-	R
CHEMBL36986      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.995	58.554	-	-	-	-	G
CHEMBL36986      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9977	3.99483	-	-	-	-	G
CHEMBL36986      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-135.007	0.148746	-	-	-	-	R
CHEMBL36986      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	0.0120858	73.7697	-	-	-	-	G
CHEMBL36986      none	B	[*:1]~[NX3:2]!@[OX2:3]~[*:4]	-160.003	0.465766	-	-	-	-	O
C65421514      none	B	[nH0r6:1][cr6:2]([nH0r6])!@[cr6:3]([cH1r6])[cH1r6:4]	-29.7547	0.704225	-	-	-	-	O
