MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C19800373      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-150.001	1.28448	-	-	-	-	O
C19800373      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	119.718	0.236827	-	-	-	-	R
C19800373      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	180	13.9437	-	-	-	-	G
C19800373      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	179.997	29.4914	-	-	-	-	G
C19800373      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C19800373      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	0.266857	14.4225	-	-	-	-	G
C19800373      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	60.0045	0.148017	-	-	-	-	R
C19800373      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-120.002	0.315856	-	-	-	-	R
C39923306      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	90.0001	7.24386	-	-	-	-	G
C39923306      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-60.0022	7.13757	-	-	-	-	G
C39923306      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-170.274	6.70813	-	-	-	-	G
C39923306      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-59.995	7.13757	-	-	-	-	G
C39923306      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-40.0012	0.858878	-	-	-	-	O
C39923306      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-89.9966	1.11373	-	-	-	-	G
C39923306      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00428216	63.7893	-	-	-	-	G
C39923306      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	150.001	0.447375	-	-	-	-	O
C39923306      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	150.304	1.21045	-	-	-	-	G
C63900807      none	B	[CX3:1]=[CX3:2]!@[CH2:3][C:4]	149.953	0.780985	-	-	-	-	G
C63900807      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C63900807      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0021	3.99483	-	-	-	-	G
C63900807      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	30.0003	4.22116	-	-	-	-	G
C63900807      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00622439	74.4927	-	-	-	-	G
C63900807      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	-89.998	4.43359	-	-	-	-	G
C63900807      none	B	[OX2:1][CX4H2:2]!@[CX3:3]([$([NX3H1,NX3H2])])=[O:4]	30.0098	0.357143	-	-	-	-	O
C63900807      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00428054	63.7893	-	-	-	-	G
C63900807      none	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	180	7.3164	-	-	-	-	G
C63900807      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0106148	63.7893	-	-	-	-	G
C63900807      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-152.991	8.78518	-	-	-	-	G
C13816109      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-120.003	3.10876	-	-	-	-	G
C13816109      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
C13816109      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	60.0061	3.33975	-	-	-	-	G
C13816109      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C13816109      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	180	3.30615	-	-	-	-	G
C13816109      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	-150.004	1.70085	-	-	-	-	G
C13816109      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.999	58.554	-	-	-	-	G
C13816109      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C13816109      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	30.0002	1.42109	-	-	-	-	O
CHEMBL324665      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	79.9986	2.21713	-	-	-	-	G
CHEMBL324665      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.996	15.0612	-	-	-	-	G
CHEMBL324665      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	80.0008	3.55056	-	-	-	-	G
CHEMBL324665      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	40.0074	0.511128	-	-	-	-	G
CHEMBL324665      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	149.996	0.884397	-	-	-	-	O
CHEMBL324665      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-150.264	0.58186	-	-	-	-	O
C67214471      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	90.0032	7.24386	-	-	-	-	G
