MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL593490      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-60.0058	5.93207	-	-	-	-	G
CHEMBL593490      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	29.9979	0.264964	-	-	-	-	O
CHEMBL593490      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.318	5.49382	-	-	-	-	G
CHEMBL593490      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	180	43.8829	-	-	-	-	G
CHEMBL593490      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-59.9959	14.8764	-	-	-	-	G
CHEMBL593490      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.992	1.81259	-	-	-	-	G
CHEMBL593490      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.9977	18.481	-	-	-	-	G
C06660606      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	119.608	3.30125	-	-	-	-	G
C06660606      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	90.0038	14.7896	-	-	-	-	G
C06660606      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C06660606      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9961	3.99483	-	-	-	-	G
C06660606      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	45.3083	0.859064	-	-	-	-	O
CHEMBL603197      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	-59.7134	2.81967	-	-	-	-	G
CHEMBL603197      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	29.9963	0.264964	-	-	-	-	O
CHEMBL603197      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.301	5.49382	-	-	-	-	G
CHEMBL603197      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	180	43.8829	-	-	-	-	G
CHEMBL603197      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-59.9981	14.8764	-	-	-	-	G
CHEMBL603197      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	160.001	1.81259	-	-	-	-	G
CHEMBL603197      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-90.0037	18.481	-	-	-	-	G
C64481118      none	B	[cH0:1][c:2]!@[CX4H1:3][N,O,S:4]	-93.053	1.41422	-	-	-	-	O
C64481118      none	B	[!#1:1][CX4:2]!@[CX3H0:3][!#1:4]	-0.324872	1.41387	-	-	-	-	O
C64481118      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-59.9958	15.3415	-	-	-	-	G
CHEMBL383541      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.9952	18.481	-	-	-	-	G
CHEMBL383541      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.998	22.1548	-	-	-	-	G
CHEMBL383541      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	180	9.8427	-	-	-	-	G
CHEMBL383541      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	180	43.8829	-	-	-	-	G
CHEMBL383541      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-179.732	26.896	-	-	-	-	G
CHEMBL383541      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-19.9958	3.14121	-	-	-	-	G
CHEMBL383541      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-20.007	3.14121	-	-	-	-	G
CHEMBL593375      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-120.002	5.11817	-	-	-	-	G
CHEMBL593375      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	149.984	0.618227	-	-	-	-	R
CHEMBL593375      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	60.3083	5.3686	-	-	-	-	G
CHEMBL593375      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-150.001	1.28448	-	-	-	-	O
CHEMBL593375      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-59.9993	14.8764	-	-	-	-	G
CHEMBL593375      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.997	1.81259	-	-	-	-	G
CHEMBL593375      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.9997	18.481	-	-	-	-	G
CHEMBL594933      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.998	5.11817	-	-	-	-	G
CHEMBL594933      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-30.0083	0.195465	-	-	-	-	O
CHEMBL594933      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	60.3201	5.3686	-	-	-	-	G
CHEMBL594933      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-149.996	1.28448	-	-	-	-	O
CHEMBL594933      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-59.9992	14.8764	-	-	-	-	G
CHEMBL594933      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.993	1.81259	-	-	-	-	G
