MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL192762      none	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	60.2838	2.78062	-	-	-	-	O
CHEMBL192762      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-134.999	0.892478	-	-	-	-	R
CHEMBL192762      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	89.9714	7.52773	-	-	-	-	G
CHEMBL192762      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-179.69	2.38722	-	-	-	-	O
CHEMBL192762      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-90.0067	1.11373	-	-	-	-	G
C39998231      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	0.000579181	17.837	-	-	-	-	G
C39998231      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	119.998	3.34694	-	-	-	-	G
C39998231      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-0.00477024	20.0453	-	-	-	-	G
C39998231      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-59.6655	1.53044	-	-	-	-	O
C39998231      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-30.0023	0.51573	-	-	-	-	O
C39998231      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-79.997	6.01214	-	-	-	-	G
C39998231      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.724	7.30446	-	-	-	-	G
CHEMBL363850      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	44.9979	2.20791	-	-	-	-	G
CHEMBL363850      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	45.28	2.02392	-	-	-	-	G
CHEMBL363850      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	90.0314	7.52773	-	-	-	-	G
CHEMBL363850      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	135.003	0.318742	-	-	-	-	R
CHEMBL363850      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-90.0096	1.11373	-	-	-	-	G
CHEMBL363850      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-44.682	1.48496	-	-	-	-	O
C40758608      none	B	[cH1:1][c:2]([cH0])!@[NX3:3][a:4]	89.9998	0.749064	-	-	-	-	G
C40758608      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	120.269	1.62057	-	-	-	-	O
C40758608      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	89.9997	1.62893	-	-	-	-	O
