MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C71720451      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.975	23.2156	-	-	-	-	G
C71720451      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	89.9975	2.06517	-	-	-	-	G
C71720451      none	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	-119.996	0.70128	-	-	-	-	R
C71720451      none	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	140.001	0.799705	-	-	-	-	O
C71720451      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0016	3.99483	-	-	-	-	G
C71720451      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-120.009	0.79457	-	-	-	-	O
C71720451      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0039	3.77933	-	-	-	-	G
C71720451      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	120.008	0.695249	-	-	-	-	O
C67029185      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.004	3.7643	-	-	-	-	G
C67029185      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	59.9983	0.650722	-	-	-	-	O
C67029185      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00574987	74.4927	-	-	-	-	G
C67029185      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	30.0072	10.7465	-	-	-	-	G
C67029185      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-119.995	0	-	-	-	-	R
C67029185      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	29.9956	9.32817	-	-	-	-	G
C67029185      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	-0.0169106	0.495663	-	-	-	-	O
C01248419      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	151.385	3.71955	-	-	-	-	G
C01248419      none	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	60.0261	4.10392	-	-	-	-	G
C01248419      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	80.0067	6.41197	-	-	-	-	G
C01248419      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-90.0035	1.11373	-	-	-	-	G
C63235788      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-149.992	3.9285	-	-	-	-	G
C63235788      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-0.00414105	7.47259	-	-	-	-	G
C63235788      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-120.012	0.661024	-	-	-	-	G
C63235788      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	60.005	0.126334	-	-	-	-	G
C63235788      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-149.736	1.91104	-	-	-	-	O
C63235788      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.00366492	26.3009	-	-	-	-	G
C63235788      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-60	0.582524	-	-	-	-	R
C44380366      none	B	[a:1][ar5:2]!@[ar5:3][a:4]	-89.6704	0.973282	-	-	-	-	G
C44380366      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	60.0028	1.58835	-	-	-	-	O
C44380366      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-149.722	2.34391	-	-	-	-	G
C44380366      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH1])[cH1:4]	-0.00197573	10.8271	-	-	-	-	G
C66043827      none	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	-119.727	5.28723	-	-	-	-	G
C66043827      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]([CX3H0])=[O:4]	59.9974	0.204918	-	-	-	-	R
C66043827      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	119.999	0.806964	-	-	-	-	G
C66043827      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	60.3243	1.58835	-	-	-	-	O
C66043827      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])	-19.7219	3.43881	-	-	-	-	G
C34761984      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	0.273271	49.3635	-	-	-	-	G
C34761984      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-150.277	2.47456	-	-	-	-	G
C34761984      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-119.713	0.103612	-	-	-	-	R
C34761984      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-120.003	0.315856	-	-	-	-	R
C34761984      none	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	-30.0024	0.152672	-	-	-	-	O
