MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C10735528      none	B	[s:1][c:2]!@[C:3]([NH1])=[O:4]	-179.913	7.69231	-	-	-	-	R
C10735528      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00388412	63.7893	-	-	-	-	G
C10735528      none	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	-150.001	1.86361	-	-	-	-	G
C10735528      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00649742	63.7893	-	-	-	-	G
C10735528      none	B	[s:1][c:2]!@[C:3]([NH1])=[O:4]	30.0046	0	-	-	-	-	O
C10735528      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	30.5577	2.54993	-	-	-	-	G
C04566551      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.952	23.2156	-	-	-	-	G
C14547183      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	29.2171	3.56196	-	-	-	-	G
CHEMBL181571      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-89.7018	3.39746	-	-	-	-	G
CHEMBL181571      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	89.9601	0.274725	-	-	-	-	O
C00071415      none	-	-	-	-	-	-	-	-	-
C35657835      none	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	90.0067	0	-	-	-	-	R
C35657835      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	171.455	3.2172	-	-	-	-	G
C19503367      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-45.0071	1.96752	-	-	-	-	O
C19503367      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	149.997	1.03538	-	-	-	-	R
C19503367      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-120.271	0.327297	-	-	-	-	R
C20504447      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-90.0101	1.29082	-	-	-	-	G
C20504447      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-90.0019	3.22537	-	-	-	-	G
C20504447      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	90.0041	8.35763	-	-	-	-	G
C40248481      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	30.0015	3.56196	-	-	-	-	G
C40248481      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	59.9986	3.42939	-	-	-	-	G
CHEMBL570897      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	90.3108	2.06517	-	-	-	-	O
CHEMBL570897      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	89.9708	0.274725	-	-	-	-	O
C00246207      none	B	[CX3:1]=[CX3:2]!@[CH2:3][c:4]	-59.9974	0.26455	-	-	-	-	O
C00246207      none	B	[a:1][c:2]!@[CX4H2:3][CX3:4]	149.999	0.645995	-	-	-	-	R
C00246207      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	30.2616	2.23708	-	-	-	-	O
C55357544      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	135.002	1.69481	-	-	-	-	O
C55357544      none	B	[!#1:1][CX4:2]!@[SX4:3][!#1:4]	167.735	7.85263	-	-	-	-	G
C55357544      none	B	[aH0:1][c:2]([aH0])!@[SX4:3][!#1:4]	29.9994	0.418994	-	-	-	-	R
C27302922      none	B	[O:1]=[C:2]!@[NX3:3](C=O)[*:4]	30.0399	1.75439	-	-	-	-	O
C27302922      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	120.33	4.19444	-	-	-	-	G
C39030083      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-24.9498	2.78398	-	-	-	-	G
C39030083      none	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	0.00353076	40.1033	-	-	-	-	G
C39030083      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-59.7238	0.295938	-	-	-	-	R
C01759419      none	-	-	-	-	-	-	-	-	-
