MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL160038      none	B	[a:1][c:2]!@[CX4H2:3][CX3:4]	-89.9731	7.62274	-	-	-	-	G
CHEMBL160038      none	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	29.9962	5.41311	-	-	-	-	G
CHEMBL160038      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-29.7213	3.22841	-	-	-	-	G
CHEMBL160038      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0320789	12.6374	-	-	-	-	G
C17076056      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-90.0008	0.38835	-	-	-	-	R
C17076056      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.246855	12.6374	-	-	-	-	G
C17076056      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-30.0044	9.1924	-	-	-	-	G
C17076056      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-120.006	1.11962	-	-	-	-	O
C17076056      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00808956	63.7893	-	-	-	-	G
C17076056      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	179.998	29.4914	-	-	-	-	G
C17076056      none	B	[cH1:1][c:2]([cH0])!@[CX3x0:3]=[NX2:4]	-29.7256	0.921659	-	-	-	-	G
C17076056      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH1])[cH0:4]	0.00646562	8.88889	-	-	-	-	G
CHEMBL1091982      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.997	1.81259	-	-	-	-	G
CHEMBL1091982      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	180	3.27555	-	-	-	-	G
CHEMBL1091982      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.013557	74.4927	-	-	-	-	G
CHEMBL1091982      none	B	[!#1:1][CX4H2:2]!@[OX2:3][C:4]	-79.9889	4.15494	-	-	-	-	G
CHEMBL1091982      none	B	[!#1:1][CX4H2:2]!@[OX2:3][C:4]	-60.0016	0.52922	-	-	-	-	G
CHEMBL1091982      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00493197	74.4927	-	-	-	-	G
CHEMBL1091982      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	120.002	0.855256	-	-	-	-	O
CHEMBL1091982      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH0:4]	89.9758	5.69106	-	-	-	-	G
CHEMBL1324      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-59.9993	0.295938	-	-	-	-	R
CHEMBL1324      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	150.287	3.28558	-	-	-	-	G
CHEMBL1324      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0185288	12.6374	-	-	-	-	G
CHEMBL355017      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.00483598	12.6374	-	-	-	-	G
CHEMBL1089536      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-149.968	1.39181	-	-	-	-	O
CHEMBL1089536      none	B	[c:1][CX4H2:2]!@[OX2:3][C:4]	120.001	0.339506	-	-	-	-	G
CHEMBL1089536      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	29.9943	0.0796663	-	-	-	-	R
CHEMBL1089536      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	-120.002	0.825401	-	-	-	-	O
CHEMBL1089536      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH0:4]	89.989	5.69106	-	-	-	-	G
CHEMBL168276      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.984	23.2156	-	-	-	-	G
CHEMBL168276      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0273412	12.6374	-	-	-	-	G
CHEMBL169926      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	30.0003	3.1746	-	-	-	-	G
CHEMBL169926      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	30.0021	1.05249	-	-	-	-	G
CHEMBL169926      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	19.9985	2.80466	-	-	-	-	G
CHEMBL169926      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0230936	12.6374	-	-	-	-	G
CHEMBL169891      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0114014	12.6374	-	-	-	-	G
CHEMBL169033      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-29.7319	3.22841	-	-	-	-	G
CHEMBL169033      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.027582	12.6374	-	-	-	-	G
C35442235      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH1])[cH1:4]	179.971	7.35294	-	-	-	-	G
C35442235      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	89.9976	7.24386	-	-	-	-	G
C35442235      none	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-55.5162	5.17104	-	-	-	-	G
C35442235      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	120	3.12238	-	-	-	-	G
C35442235      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])	-19.7328	3.43881	-	-	-	-	G
CHEMBL1089537      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	30	3.28614	-	-	-	-	G
CHEMBL1089537      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00352914	74.4927	-	-	-	-	G
CHEMBL1089537      none	B	[!#1:1][CX4H2:2]!@[OX2:3][C:4]	80.0037	4.1662	-	-	-	-	G
CHEMBL1089537      none	B	[!#1:1][CX4H2:2]!@[OX2:3][C:4]	60.0007	0.54048	-	-	-	-	G
CHEMBL1089537      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	30.0025	0.0796663	-	-	-	-	R
CHEMBL1089537      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	-90.0056	0.672614	-	-	-	-	R
CHEMBL1089537      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH0:4]	89.9811	5.69106	-	-	-	-	G
CHEMBL1089538      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	179.998	0.827213	-	-	-	-	G
CHEMBL1089538      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-30.0015	0.0890388	-	-	-	-	R
CHEMBL1089538      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	40.0021	10.1875	-	-	-	-	G
CHEMBL1089538      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	40.0055	10.1875	-	-	-	-	G
