MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C39556205      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-134.997	2.06022	-	-	-	-	G
C39556205      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.002	15.4696	-	-	-	-	G
C39556205      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-119.993	3.00312	-	-	-	-	G
C39556205      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-90.0039	14.1466	-	-	-	-	G
C39556205      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-134.996	0.856458	-	-	-	-	G
C39448830      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-29.9523	3.61778	-	-	-	-	G
C39448830      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	80.0069	6.41197	-	-	-	-	G
C39448830      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-60.0047	1.45352	-	-	-	-	G
C39448830      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-29.7525	0.692521	-	-	-	-	O
C16543275      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-60.0027	2.40592	-	-	-	-	G
C16543275      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	159.998	2.91722	-	-	-	-	G
C16543275      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00130099	63.7893	-	-	-	-	G
C16543275      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-30.0013	5.05437	-	-	-	-	G
C16543275      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	29.9978	0.412584	-	-	-	-	O
C16543275      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-29.9966	1.93298	-	-	-	-	O
C16543275      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	150.28	4.43889	-	-	-	-	G
C09793244      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.9686	7.30446	-	-	-	-	G
C09793244      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.999	11.3535	-	-	-	-	G
C09793244      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	0.333384	10.9271	-	-	-	-	G
C09793244      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.0093	2.01135	-	-	-	-	G
C09793244      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	59.9942	7.53739	-	-	-	-	G
C09793244      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7266	7.30446	-	-	-	-	G
C09793244      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-30.0012	1.93298	-	-	-	-	O
C09793244      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	150.277	4.21084	-	-	-	-	G
C07779407      none	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	-179.694	13.7809	-	-	-	-	G
