MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C64103318      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	160	1.81259	-	-	-	-	G
C64103318      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-79.9994	2.10499	-	-	-	-	G
C64103318      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-80.0027	2.10499	-	-	-	-	G
C64103318      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-176.184	22.1548	-	-	-	-	G
C64103318      none	B	[cH0:1][c:2]!@[CX4H1:3][N,O,S:4]	119.735	3.75884	-	-	-	-	O
C63205474      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	60.0004	15.2809	-	-	-	-	G
C63205474      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	180	27.0317	-	-	-	-	G
C63205474      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	180	13.4277	-	-	-	-	G
C63205474      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-178.499	9.8427	-	-	-	-	G
C63205474      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	179.997	27.0317	-	-	-	-	G
CHEMBL577268      none	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	80.0013	6.94113	-	-	-	-	G
CHEMBL577268      none	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-161.944	4.58918	-	-	-	-	G
CHEMBL577268      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	0.299185	2.24426	-	-	-	-	O
CHEMBL577268      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.0008	15.4696	-	-	-	-	G
CHEMBL577268      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.002	3.77933	-	-	-	-	G
CHEMBL577268      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
C63985333      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-20.0031	3.14121	-	-	-	-	G
