MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL34553      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-120.03	2.94527	-	-	-	-	O
CHEMBL34553      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.998	1.85018	-	-	-	-	G
CHEMBL34553      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9978	2.11706	-	-	-	-	O
CHEMBL34553      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00707582	63.7893	-	-	-	-	G
CHEMBL34553      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	30.0055	5.20833	-	-	-	-	G
CHEMBL34553      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00341612	63.7893	-	-	-	-	G
CHEMBL34553      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]F)[cH:4]	-29.7272	8.77193	-	-	-	-	G
CHEMBL35042      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	89.9792	13.8915	-	-	-	-	G
CHEMBL35042      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-160.004	1.85018	-	-	-	-	G
CHEMBL35042      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	90.0022	2.11706	-	-	-	-	O
CHEMBL35042      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00209591	63.7893	-	-	-	-	G
CHEMBL35042      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL35042      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-60.0014	12.2558	-	-	-	-	G
CHEMBL417683      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-120.018	2.94527	-	-	-	-	O
CHEMBL417683      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-160.003	1.85018	-	-	-	-	G
CHEMBL417683      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9927	2.11706	-	-	-	-	O
CHEMBL417683      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00753845	63.7893	-	-	-	-	G
CHEMBL417683      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	30.0033	5.20833	-	-	-	-	G
CHEMBL417683      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0052692	63.7893	-	-	-	-	G
CHEMBL417683      none	B	[$([C](=O)):1][NX3H1:2]!@[$([a]([nH0,o])):3][cH1:4]	-29.7312	3.65591	-	-	-	-	O
CHEMBL286917      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	89.9715	13.8915	-	-	-	-	G
CHEMBL286917      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-160	1.85018	-	-	-	-	G
CHEMBL286917      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	90.007	2.11706	-	-	-	-	O
CHEMBL286917      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00179567	63.7893	-	-	-	-	G
CHEMBL286917      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-111.381	0.0892838	-	-	-	-	R
CHEMBL284794      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	79.9995	1.75235	-	-	-	-	G
CHEMBL284794      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9965	2.11706	-	-	-	-	O
CHEMBL284794      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00741833	63.7893	-	-	-	-	G
CHEMBL38016      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-120.018	2.94527	-	-	-	-	O
CHEMBL38016      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-160.003	1.85018	-	-	-	-	G
CHEMBL38016      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9995	2.11706	-	-	-	-	O
CHEMBL38016      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00553326	63.7893	-	-	-	-	G
CHEMBL38016      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
CHEMBL38016      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.365	22.1548	-	-	-	-	G
CHEMBL289736      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	89.9806	13.8915	-	-	-	-	G
CHEMBL289736      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-160	1.85018	-	-	-	-	G
CHEMBL289736      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9949	2.11706	-	-	-	-	O
CHEMBL289736      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00220744	63.7893	-	-	-	-	G
CHEMBL289736      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-103.33	0.190102	-	-	-	-	R
CHEMBL34024      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	89.9862	13.8915	-	-	-	-	G
CHEMBL34024      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.997	22.1548	-	-	-	-	G
CHEMBL34024      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9987	2.11706	-	-	-	-	O
CHEMBL34024      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00282198	63.7893	-	-	-	-	G
CHEMBL34024      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-40.0062	1.41573	-	-	-	-	G
C54695635      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-39.9992	0.858878	-	-	-	-	O
C54695635      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-160.003	3.18377	-	-	-	-	G
C54695635      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.99	1.85018	-	-	-	-	G
C54695635      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	89.9909	0.86741	-	-	-	-	O
C45104375      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	179.996	2.38722	-	-	-	-	O
C45104375      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.728	15.4696	-	-	-	-	G
C45104375      none	B	[$([cH0](=O)):1][c:2]([cH1])!@[CX3:3]([NX3H1,NX3H2])=[O:4]	-89.7752	0	-	-	-	-	R
C44161895      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	90.0072	0.308642	-	-	-	-	O
C44161895      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-150.005	1.79995	-	-	-	-	G
C44161895      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.0014	15.4696	-	-	-	-	G
C44161895      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.995	58.554	-	-	-	-	G
C44161895      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-79.9952	6.01214	-	-	-	-	G
