MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL180857      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	150	0.884397	-	-	-	-	O
CHEMBL180857      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-120.005	0.103612	-	-	-	-	R
CHEMBL180857      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	119.999	3.12238	-	-	-	-	G
CHEMBL180857      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-89.74	0.35524	-	-	-	-	R
CHEMBL180857      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	180	39.7757	-	-	-	-	G
CHEMBL180857      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7286	7.30446	-	-	-	-	G
CHEMBL180857      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	0.0087855	6.89233	-	-	-	-	G
CHEMBL180857      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-89.9937	3.22537	-	-	-	-	G
CHEMBL180857      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00490584	63.7893	-	-	-	-	G
CHEMBL180857      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	180	3.5443	-	-	-	-	G
CHEMBL180857      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7399	7.30446	-	-	-	-	G
CHEMBL180857      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	0.000744958	14.0646	-	-	-	-	G
CHEMBL180857      none	B	[a:1][c:2]!@[C:3](=[N:4])	180	20.2265	-	-	-	-	G
CHEMBL214352      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	119.976	4.5208	-	-	-	-	G
CHEMBL214352      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	0.00321724	17.837	-	-	-	-	G
CHEMBL214352      none	B	[a:1][c:2]!@[C:3](=[N:4])	180	20.2265	-	-	-	-	G
CHEMBL214352      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.995	1.62815	-	-	-	-	O
CHEMBL214352      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	89.9977	8.35443	-	-	-	-	G
CHEMBL214352      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00326308	63.7893	-	-	-	-	G
CHEMBL214352      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-149.711	1.37927	-	-	-	-	O
CHEMBL179983      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	90.2769	0.310835	-	-	-	-	R
CHEMBL179983      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	120.001	3.12238	-	-	-	-	G
CHEMBL179983      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	90.2742	0.310835	-	-	-	-	R
CHEMBL179983      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	0.0082754	6.89233	-	-	-	-	G
CHEMBL179983      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-89.9964	3.22537	-	-	-	-	G
CHEMBL179983      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00433784	63.7893	-	-	-	-	G
CHEMBL179983      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	119.997	2.53165	-	-	-	-	G
CHEMBL179983      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7312	7.30446	-	-	-	-	G
CHEMBL179983      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-0.00320367	14.0646	-	-	-	-	G
CHEMBL179983      none	B	[a:1][c:2]!@[C:3](=[N:4])	-179.987	20.2265	-	-	-	-	G
CHEMBL195238      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-89.9925	11.9355	-	-	-	-	G
CHEMBL195238      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9987	3.99483	-	-	-	-	G
CHEMBL195238      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL195238      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	89.9993	14.7513	-	-	-	-	G
CHEMBL195238      none	B	[$([C](=O)):1][NX3H0:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	120.005	4.66563	-	-	-	-	G
CHEMBL195238      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	0.0010864	23.6549	-	-	-	-	G
CHEMBL195238      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	135.272	1.69481	-	-	-	-	O
CHEMBL195238      none	B	[a:1][c:2]!@[C:3](=[N:4])	179.996	20.2265	-	-	-	-	G
CHEMBL195238      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	-89.9956	3.27273	-	-	-	-	G
CHEMBL197032      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.996	15.0612	-	-	-	-	G
CHEMBL197032      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL197032      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL197032      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	89.9952	14.7513	-	-	-	-	G
CHEMBL197032      none	B	[$([C](=O)):1][NX3H0:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	120.004	4.66563	-	-	-	-	G
CHEMBL197032      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	29.9952	0.896722	-	-	-	-	O
CHEMBL197032      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	135.281	1.69481	-	-	-	-	O
CHEMBL197032      none	B	[a:1][c:2]!@[C:3](=[N:4])	179.997	20.2265	-	-	-	-	G
CHEMBL197032      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	89.9984	5.09091	-	-	-	-	G
CHEMBL380813      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-89.7248	0.35524	-	-	-	-	R
CHEMBL380813      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-89.9689	11.9355	-	-	-	-	G
CHEMBL380813      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-89.724	0.35524	-	-	-	-	R
CHEMBL380813      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.994	58.554	-	-	-	-	G
CHEMBL380813      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-89.9986	15.9949	-	-	-	-	G
CHEMBL380813      none	B	[$([C](=O)):1][NX3H0:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	-89.9994	11.8974	-	-	-	-	G
CHEMBL380813      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	150.003	2.50464	-	-	-	-	G
CHEMBL380813      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	45.2786	2.0463	-	-	-	-	O
CHEMBL380813      none	B	[a:1][c:2]!@[C:3](=[N:4])	180	20.2265	-	-	-	-	G
CHEMBL380813      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	-60.0018	9.09091	-	-	-	-	G
CHEMBL360313      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-150.003	1.28448	-	-	-	-	O
CHEMBL360313      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-59.9928	0.103612	-	-	-	-	R
CHEMBL360313      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0052	3.48172	-	-	-	-	G
CHEMBL360313      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-119.707	0.103612	-	-	-	-	R
CHEMBL360313      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	149.993	0.884397	-	-	-	-	O
CHEMBL360313      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-0.00208561	6.89233	-	-	-	-	G
CHEMBL360313      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-90.0042	3.22537	-	-	-	-	G
CHEMBL360313      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00326207	63.7893	-	-	-	-	G
CHEMBL360313      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	180	3.5443	-	-	-	-	G
CHEMBL360313      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7288	7.30446	-	-	-	-	G
CHEMBL360313      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	0.00542168	14.0646	-	-	-	-	G
CHEMBL360313      none	B	[a:1][c:2]!@[C:3](=[N:4])	180	20.2265	-	-	-	-	G
CHEMBL332983      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0069	3.48172	-	-	-	-	G
CHEMBL332983      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	31.9935	9.46757	-	-	-	-	G
CHEMBL332983      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-135.003	2.11592	-	-	-	-	G
CHEMBL332983      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-134.723	1.88592	-	-	-	-	G
CHEMBL332983      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.00374757	26.3009	-	-	-	-	G
CHEMBL332983      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0111826	63.7893	-	-	-	-	G
CHEMBL332983      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-60.0085	0.14881	-	-	-	-	O
