MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL248120      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.69	18.481	-	-	-	-	G
CHEMBL248120      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.7359	5.93207	-	-	-	-	G
CHEMBL248120      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.272	5.49382	-	-	-	-	G
CHEMBL248120      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	60.1755	2.99625	-	-	-	-	G
CHEMBL248120      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-119.737	5.09131	-	-	-	-	G
CHEMBL248120      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-120.001	3.08052	-	-	-	-	G
CHEMBL248120      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	90.0115	0.86741	-	-	-	-	O
CHEMBL394966      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.9979	5.93207	-	-	-	-	G
CHEMBL394966      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	59.9957	5.3686	-	-	-	-	G
CHEMBL394966      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.287	5.49382	-	-	-	-	G
CHEMBL394966      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.737	5.11817	-	-	-	-	G
CHEMBL394966      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-149.991	0.243246	-	-	-	-	O
CHEMBL394966      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-90.001	0.86334	-	-	-	-	G
CHEMBL394966      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	119.996	0.923198	-	-	-	-	O
CHEMBL246902      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-60.005	5.93207	-	-	-	-	G
CHEMBL246902      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.997	5.11817	-	-	-	-	G
CHEMBL246902      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.275	5.49382	-	-	-	-	G
CHEMBL246902      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.719	5.11817	-	-	-	-	G
CHEMBL246902      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-150.002	0.243246	-	-	-	-	O
CHEMBL246902      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-119.993	0.315856	-	-	-	-	R
CHEMBL246902      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-120	1.11962	-	-	-	-	O
CHEMBL396698      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.7536	5.93207	-	-	-	-	G
CHEMBL396698      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.272	5.49382	-	-	-	-	G
CHEMBL396698      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	-119.578	1.77049	-	-	-	-	O
CHEMBL396698      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.732	5.11817	-	-	-	-	G
CHEMBL396698      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-150.001	0.243246	-	-	-	-	O
CHEMBL396698      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-89.9991	0.86334	-	-	-	-	G
CHEMBL396698      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	119.996	0.923198	-	-	-	-	O
CHEMBL126078      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.323	5.49382	-	-	-	-	G
CHEMBL126078      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.288	5.49382	-	-	-	-	G
CHEMBL126078      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	60.2802	0.665746	-	-	-	-	R
CHEMBL126078      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.73	5.11817	-	-	-	-	G
CHEMBL126078      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-150.002	0.243246	-	-	-	-	O
CHEMBL126078      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-90.0062	0.86334	-	-	-	-	G
CHEMBL126078      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	119.988	0.923198	-	-	-	-	O
CHEMBL248144      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.319	5.49382	-	-	-	-	G
CHEMBL248144      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.284	5.49382	-	-	-	-	G
CHEMBL248144      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	60.5797	0.665746	-	-	-	-	R
CHEMBL248144      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.726	5.11817	-	-	-	-	G
CHEMBL248144      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-150.001	0.243246	-	-	-	-	O
CHEMBL248144      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-90.0048	0.86334	-	-	-	-	G
CHEMBL248144      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	120.012	0.923198	-	-	-	-	O
CHEMBL247920      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.6966	18.481	-	-	-	-	G
CHEMBL247920      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.7759	5.93207	-	-	-	-	G
CHEMBL247920      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	150.287	2.30083	-	-	-	-	G
CHEMBL247920      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	60.1609	2.99625	-	-	-	-	G
CHEMBL247920      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-119.723	5.09131	-	-	-	-	G
CHEMBL247920      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-150	0.243246	-	-	-	-	O
CHEMBL247920      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	179.998	43.8829	-	-	-	-	G
CHEMBL247920      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	120.001	0.923198	-	-	-	-	O
CHEMBL247529      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.6774	18.481	-	-	-	-	G
CHEMBL247529      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.7521	5.93207	-	-	-	-	G
CHEMBL247529      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	150.277	2.30083	-	-	-	-	G
