MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C39444076      none	B	[$([CX3]([C])([H])):1]=[CX3:2]([C])!@[CH2:3][C:4]	-90.2709	3.43348	-	-	-	-	G
C39444076      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	30.0003	0.533408	-	-	-	-	G
C39444076      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	149.996	0.447375	-	-	-	-	O
C39444076      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	150.276	2.10453	-	-	-	-	G
C39444076      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-0.00342971	14.0646	-	-	-	-	G
CHEMBL1084546      none	B	[$(S(=O)(=O)):1][N:2]!@[c:3][a:4]	90.0017	4.78516	-	-	-	-	G
CHEMBL1084546      none	B	[C:1][$(S(=O)=O):2]!@[NX3H0:3][c:4]	89.9991	11.6279	-	-	-	-	G
CHEMBL1084546      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-89.9988	7.87941	-	-	-	-	G
CHEMBL1084546      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.998	11.3535	-	-	-	-	G
CHEMBL1084546      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-179.722	49.7854	-	-	-	-	G
CHEMBL1084546      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-150.002	1.91104	-	-	-	-	O
CHEMBL1084546      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	120.278	0.630126	-	-	-	-	O
C40156589      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	120.001	0.35639	-	-	-	-	R
C40156589      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-119.996	0.315856	-	-	-	-	R
C40156589      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	160.001	0.798637	-	-	-	-	G
C40156589      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-39.9993	1.41573	-	-	-	-	G
C40156589      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	160.002	1.9368	-	-	-	-	G
C40156589      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-79.9963	2.10499	-	-	-	-	G
C40156589      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.995	15.0612	-	-	-	-	G
C40156589      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-39.9999	1.41573	-	-	-	-	G
C40156589      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-29.9928	3.61778	-	-	-	-	G
C40156589      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.984	23.2156	-	-	-	-	G
