MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C36241532      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	0.00670237	3.0303	-	-	-	-	G
C36241532      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	179.992	14.0278	-	-	-	-	G
C36241532      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-89.9987	3.00607	-	-	-	-	G
C36241532      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	30.002	3.68098	-	-	-	-	G
C36241532      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00675991	63.7893	-	-	-	-	G
C36241532      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	150.004	1.842	-	-	-	-	O
C36241532      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	0.0031798	10.4563	-	-	-	-	G
C33077891      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	90.0032	7.24386	-	-	-	-	G
C33077891      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-79.9969	6.01214	-	-	-	-	G
C33077891      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-60.0038	1.39247	-	-	-	-	G
C33077891      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	119.996	4.19444	-	-	-	-	G
C33077891      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH0])[cH0:4]	90.5089	5.441	-	-	-	-	G
C33077891      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-29.9906	1.17502	-	-	-	-	O
C33077891      none	B	[$([C](=O)):1][NX3H0:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	-119.997	4.27683	-	-	-	-	G
C33077891      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-149.734	1.39181	-	-	-	-	O
C20732640      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	90.003	1.62893	-	-	-	-	O
C20732640      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	179.998	37.0618	-	-	-	-	G
C20732640      none	B	[!#1:1][CX3:2](=S)!@[NX3H0:3][!#1:4]	30.0019	1.07914	-	-	-	-	O
C20732640      none	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	-89.9973	8.29232	-	-	-	-	G
C20732640      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	119.999	1.56596	-	-	-	-	O
C20732640      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.997	58.554	-	-	-	-	G
