MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C02044243      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	79.9999	1.75235	-	-	-	-	G
C02044243      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	119.994	0.695249	-	-	-	-	O
C02044243      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	-0.00218284	0.495663	-	-	-	-	O
C02044243      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	180	11.1654	-	-	-	-	G
C02044243      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	159.998	2.91722	-	-	-	-	G
C02044243      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	119.994	0.613497	-	-	-	-	G
CHEMBL54472      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	159.997	1.9368	-	-	-	-	G
CHEMBL54472      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	-160.004	2.69706	-	-	-	-	G
CHEMBL54472      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	60.0022	10.3055	-	-	-	-	G
C63772283      none	B	[C:1][CX4H2:2]!@[NX3;"N_lp":3][C:4]	60.0035	4.78632	-	-	-	-	G
C63772283      none	B	[*:1]~[NX3:2]!@[OX2:3]~[*:4]	-160.001	0.465766	-	-	-	-	O
C63772283      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-90.007	0.479136	-	-	-	-	O
C63772283      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-30.002	0.0844276	-	-	-	-	R
C63772283      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	180	18.2537	-	-	-	-	G
CHEMBL54926      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-160.001	2.15596	-	-	-	-	G
CHEMBL54926      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	80.0007	2.21713	-	-	-	-	G
CHEMBL54926      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	80.0014	2.6613	-	-	-	-	G
CHEMBL54926      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	-80.0014	2.80733	-	-	-	-	G
CHEMBL198510      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL198510      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL198510      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL198510      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9994	12.3771	-	-	-	-	G
CHEMBL198510      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	39.9967	2.78945	-	-	-	-	G
CHEMBL198510      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	-159.997	2.69706	-	-	-	-	G
C15923504      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.007	1.75235	-	-	-	-	G
C15923504      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-120.007	0.79457	-	-	-	-	O
C15923504      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.0166717	0.495663	-	-	-	-	O
C15923504      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	160.004	2.91722	-	-	-	-	G
C15923504      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	0.00483224	13.1253	-	-	-	-	G
C04267504      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-59.9947	12.2558	-	-	-	-	G
C04267504      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	119.998	0.695249	-	-	-	-	O
C04267504      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.00750309	0.495663	-	-	-	-	O
C04267504      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-80.0013	6.01214	-	-	-	-	G
C04267504      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-30.0003	0.51573	-	-	-	-	O
C02512955      none	B	[O:1]=[C:2]([O-])!@[c:3][$(aC(=O)(O)):4]	0.000977517	16.6667	-	-	-	-	G
C02512955      none	B	[O:1]=[C:2]([O-])!@[c:3][$(aC(=O)(O)):4]	90.0006	0	-	-	-	-	O
C02512955      none	B	[O:1]=[C:2]([O-])!@[c:3][$(aC(=O)(O)):4]	90.0011	0	-	-	-	-	O
C01529331      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
C01529331      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	0.000181669	5.61823	-	-	-	-	G
C01529331      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	-0.00428313	0.495663	-	-	-	-	O
C01529331      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.0172582	0.495663	-	-	-	-	O
C01529331      none	B	[O:1]=[CX3:2]!@[CX3:3]=[O:4]	179.996	38.5813	-	-	-	-	G
CHEMBL924      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	180	0.161853	-	-	-	-	R
CHEMBL924      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	39.9986	0.998355	-	-	-	-	G
CHEMBL924      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	180	10.3949	-	-	-	-	G
CHEMBL924      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	-80.0023	2.80733	-	-	-	-	G
C04553176      none	B	[O:1]=[C:2]([O-])!@[c:3][$(aC(=O)(O)):4]	90.0031	0	-	-	-	-	O
C04553176      none	B	[O:1]=[C:2]([O-])!@[c:3][$(aC(=O)(O)):4]	90.0015	0	-	-	-	-	O
C04553176      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH1])[cH0:4]	0.00471883	8.88889	-	-	-	-	G
C01575289      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-80	1.71775	-	-	-	-	G
C01575289      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	120	0.695249	-	-	-	-	O
C01575289      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	0.0036374	7.55292	-	-	-	-	G
