MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL569543      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-149.735	4.13223	-	-	-	-	G
CHEMBL569543      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	160	1.81259	-	-	-	-	G
CHEMBL569543      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	119.719	7.01281	-	-	-	-	G
C15946221      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-60.0015	12.2558	-	-	-	-	G
C15946221      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	90.6776	0.504518	-	-	-	-	O
C15946221      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	119.996	3.12238	-	-	-	-	G
C15946221      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	120.583	0.615501	-	-	-	-	O
CHEMBL233389      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-149.721	3.97727	-	-	-	-	G
CHEMBL233389      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
CHEMBL233389      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.274	3.7643	-	-	-	-	G
CHEMBL236202      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-119.722	2.13068	-	-	-	-	G
CHEMBL236202      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
CHEMBL236202      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	89.6826	4.45044	-	-	-	-	G
CHEMBL411825      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-149.718	3.97727	-	-	-	-	G
CHEMBL411825      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
CHEMBL411825      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0012	3.48172	-	-	-	-	G
C02154983      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	60.0045	2.57893	-	-	-	-	G
C02154983      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-29.9992	5.05437	-	-	-	-	G
C02154983      none	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	0.00538402	41.1343	-	-	-	-	G
C02154983      none	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	179.994	9.5176	-	-	-	-	R
C02154983      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	59.9994	0.402739	-	-	-	-	R
C02154983      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-179.732	11.4213	-	-	-	-	G
C28165283      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	90.0014	3.35653	-	-	-	-	G
C28165283      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00208859	63.7893	-	-	-	-	G
C28165283      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	180	2.94479	-	-	-	-	G
C28165283      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-89.9967	3.00607	-	-	-	-	G
C28165283      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-120.005	1.95977	-	-	-	-	G
C04664746      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-119.696	0.897666	-	-	-	-	O
C04664746      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-29.6807	2.42828	-	-	-	-	G
C04664746      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][*R:4]	-150.008	0.510204	-	-	-	-	R
C04664746      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-60.0012	2.06819	-	-	-	-	G
C02888796      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	59.994	0.665746	-	-	-	-	O
C02888796      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-90.0012	9.03614	-	-	-	-	G
C02888796      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	150.006	0	-	-	-	-	R
C02888796      none	B	[$([cH0](Cl)):1][c:2]([cH1])!@[CX3:3](O)=[O:4]	89.9959	0	-	-	-	-	R
C22514201      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-90.2784	3.91099	-	-	-	-	G
C22514201      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	31.999	9.46757	-	-	-	-	G
C22514201      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00493721	63.7893	-	-	-	-	G
C22514201      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	119.999	3.75937	-	-	-	-	G
C22514201      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	179.998	11.1654	-	-	-	-	G
C22514201      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	-90.0004	2.87938	-	-	-	-	G
C22514201      none	B	[a,!nX2H0:1][a:2]([!nX2H0])!@[a:3]([nX2H0])[nX2H0:4]	0.543529	27.5	-	-	-	-	G
C59057050      none	B	[a:1][c:2]([a])!@[O:3][CX4H0:4]	30.0145	0.967742	-	-	-	-	O
C59057050      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	27.0208	8.08167	-	-	-	-	G
C59057050      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000846237	63.7893	-	-	-	-	G
C59057050      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]Cl)[cH:4]	30.2788	4.71698	-	-	-	-	G
C59057050      none	B	[!#1:1][CX4H0:2]!@[OX2:3][!#1:4]	149.994	0.221117	-	-	-	-	R
C59057050      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	29.9854	0.236666	-	-	-	-	O
