MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C29572066      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	0.0102562	13.6236	-	-	-	-	G
C29572066      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	90.2667	0.399663	-	-	-	-	O
C29572066      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-90.0109	5.42948	-	-	-	-	G
C29572066      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	-89.9959	9.94394	-	-	-	-	G
C29572066      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	179.996	3.30615	-	-	-	-	G
C29572066      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9995	3.99483	-	-	-	-	G
C29572066      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.999	58.554	-	-	-	-	G
C29572066      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-90.0058	5.3104	-	-	-	-	G
C13816256      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-90.0038	4.08085	-	-	-	-	G
C13816256      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	79.999	1.75235	-	-	-	-	G
C13816256      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-0.000870893	0.923965	-	-	-	-	G
C13816256      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C13816256      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.999	3.99483	-	-	-	-	G
C13816256      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	180	3.30615	-	-	-	-	G
C13816256      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	180	3.30615	-	-	-	-	G
C13816256      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C13816256      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.999	58.554	-	-	-	-	G
C13816256      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	90.0016	4.03889	-	-	-	-	G
C42871780      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-19.9852	2.52019	-	-	-	-	G
C42871780      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	119.999	2.00811	-	-	-	-	O
C42871780      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C42871780      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
C42871780      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	90.3064	13.2097	-	-	-	-	G
C13816122      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	-150.005	2.61531	-	-	-	-	G
C13816122      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.999	1.85018	-	-	-	-	G
C13816122      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	90.004	4.22522	-	-	-	-	G
C13816122      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.995	58.554	-	-	-	-	G
C13816122      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	-89.9955	9.94394	-	-	-	-	G
C13816122      none	B	[C:1][CX4H2:2]!@[NX3:3][C:4]	149.999	1.58619	-	-	-	-	G
C13816122      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.997	58.554	-	-	-	-	G
C13816122      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C13816122      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-150.002	0.747943	-	-	-	-	O
C12196479      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.2777	26.3009	-	-	-	-	G
C12196479      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-135.025	0.959233	-	-	-	-	G
C12196479      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-150.004	0.58186	-	-	-	-	O
C12196479      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	150.003	0.884397	-	-	-	-	O
C12196479      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	180	13.4277	-	-	-	-	G
C12196479      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	59.9889	15.2809	-	-	-	-	G
