MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C21390005      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH0])[cH0:4]	60.2399	5.86243	-	-	-	-	G
C21390005      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-149.999	1.98526	-	-	-	-	O
C21390005      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	30.0097	0.0707142	-	-	-	-	O
C21390005      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-149.997	0.689004	-	-	-	-	O
C21390005      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	89.9963	2.8728	-	-	-	-	G
C21390005      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-120.001	1.95977	-	-	-	-	G
C39928726      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.0034	1.9288	-	-	-	-	O
C39928726      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	30.0044	0.200334	-	-	-	-	R
C39928726      none	B	[!#1:1][CX3:2](=S)!@[NX3H0:3][!#1:4]	-119.698	0	-	-	-	-	R
C39928726      none	B	[nX2:1][c:2]!@[NX2:3]=[$(C([NX3])N):4]	-179.73	1.96078	-	-	-	-	G
C38688484      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-58.8099	0.530348	-	-	-	-	O
C38688484      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-0.00819447	73.7697	-	-	-	-	G
C38688484      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-90.0013	9.03614	-	-	-	-	G
C38688484      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	120.005	3.30125	-	-	-	-	G
C16698575      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	30.0145	2.37961	-	-	-	-	O
C16698575      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-179.715	12.4984	-	-	-	-	G
C16698575      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.0120931	74.4927	-	-	-	-	G
C16698575      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	-89.9973	4.43359	-	-	-	-	G
C16698575      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	119.999	0.923198	-	-	-	-	O
C16698575      none	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	90.286	0	-	-	-	-	R
C09109082      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-89.9995	7.87941	-	-	-	-	G
C09109082      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-79.9977	6.01214	-	-	-	-	G
C09109082      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.0036	2.01135	-	-	-	-	G
C09109082      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	0.00541412	3.06862	-	-	-	-	G
C09109082      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-176.815	13.4277	-	-	-	-	G
