MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL207900      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	90.0029	1.49813	-	-	-	-	G
CHEMBL207900      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-149.997	0.43837	-	-	-	-	O
CHEMBL207900      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	90.0024	2.8728	-	-	-	-	G
CHEMBL207900      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-119.992	0.59462	-	-	-	-	G
CHEMBL207900      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0194834	63.7893	-	-	-	-	G
CHEMBL207900      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	150.001	1.842	-	-	-	-	O
CHEMBL207900      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.281893	12.6374	-	-	-	-	G
CHEMBL39015      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-59.9851	1.48348	-	-	-	-	O
CHEMBL39015      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	90.0004	14.7896	-	-	-	-	G
CHEMBL39015      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	89.9986	3.2491	-	-	-	-	G
CHEMBL39015      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	0.00180082	4.86305	-	-	-	-	G
CHEMBL39015      none	B	[*:1][CX4:2]!@[O:3][CX4:4]	-60.0059	12.0509	-	-	-	-	G
CHEMBL39015      none	B	[*:1][CX4:2]!@[O:3][CX4:4]	180	12.0478	-	-	-	-	G
CHEMBL39015      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-149.717	1.39181	-	-	-	-	O
C40874691      none	B	[a:1][a:2]!@[CX3:3]=[CX3H2:4]	120.272	1.36519	-	-	-	-	O
C40874691      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	44.999	1.59785	-	-	-	-	O
C40874691      none	B	[c:1][CX4H2:2]!@[OX2:3][C:4]	90.0014	3.24074	-	-	-	-	G
C40874691      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00292339	74.4927	-	-	-	-	G
C40874691      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	0.31187	15.3068	-	-	-	-	G
C40874691      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	135	0.697211	-	-	-	-	O
C40874691      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	90.2733	4.86842	-	-	-	-	G
CHEMBL190879      none	B	[O-:1][N+:2](=O)!@[c:3][a:4]	-0.00847418	18.5814	-	-	-	-	G
CHEMBL190879      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9969	15.4696	-	-	-	-	G
CHEMBL190879      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0044	3.99483	-	-	-	-	G
CHEMBL190879      none	B	[C:1][CH2:2]!@[O:3][CX4:4]	-160	4.55295	-	-	-	-	G
CHEMBL190879      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	40	11.9906	-	-	-	-	G
CHEMBL190879      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-89.7228	1.29082	-	-	-	-	G
CHEMBL190879      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	29.9966	3.56196	-	-	-	-	G
C40874779      none	B	[a:1][a:2]!@[CX3:3]=[CX3H2:4]	120.267	1.36519	-	-	-	-	O
C40874779      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	45.0008	2.21805	-	-	-	-	O
C40874779      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	90.3222	13.2097	-	-	-	-	G
C40874779      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	-29.9819	2.49728	-	-	-	-	G
C40874779      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.013618	74.4927	-	-	-	-	G
C40874779      none	B	[c:1][CX4H2:2]!@[OX2:3][C:4]	180	23.858	-	-	-	-	G
C40874779      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	90.2839	7.24386	-	-	-	-	G
C02981394      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	90.0245	4.22522	-	-	-	-	G
C02981394      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-29.7289	2.35804	-	-	-	-	G
C02981394      none	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-89.996	5.19074	-	-	-	-	G
C02981394      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00637645	63.7893	-	-	-	-	G
C02981394      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	30.0089	5.05437	-	-	-	-	G
C02981394      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	149.999	1.92845	-	-	-	-	G
C02981394      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-59.9969	2.06819	-	-	-	-	G
C02981394      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.959	23.2156	-	-	-	-	G
C49018640      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-0.00549083	2.24426	-	-	-	-	O
C49018640      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	120.003	2.00811	-	-	-	-	O
C49018640      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	0.259719	10.9271	-	-	-	-	G
C49018640      none	B	[nX2H0r6:1][cr6:2]([cr6])!@[CX3:3]([!O])=[O:4]	-119.648	1.01138	-	-	-	-	R
C49018640      none	B	[s:1][c:2]([aX2,cH1])!@[CX3:3]=[O:4]	180	12.4339	-	-	-	-	R
CHEMBL135532      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-89.7298	18.481	-	-	-	-	G
CHEMBL135532      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	89.9987	14.7896	-	-	-	-	G
CHEMBL135532      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	89.9962	3.2491	-	-	-	-	G
CHEMBL135532      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-30.0022	2.06819	-	-	-	-	G
CHEMBL135532      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0037	3.77933	-	-	-	-	G
CHEMBL135532      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL135532      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-149.724	0.411568	-	-	-	-	R
C44428862      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-90.0008	7.30446	-	-	-	-	G
