MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL200102      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	80.001	2.21713	-	-	-	-	G
CHEMBL200102      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
CHEMBL200102      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.996	3.99483	-	-	-	-	G
CHEMBL200102      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0013	3.99483	-	-	-	-	G
CHEMBL200102      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	45.3111	0.233744	-	-	-	-	R
CHEMBL200102      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-89.9987	3.32646	-	-	-	-	G
CHEMBL200102      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][*R:4]	-29.9933	1.53061	-	-	-	-	O
C36274009      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.986	23.2156	-	-	-	-	G
C36274009      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	89.9987	0.619835	-	-	-	-	R
C36274009      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-89.9979	7.87941	-	-	-	-	G
C36274009      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-74.0037	5.43323	-	-	-	-	G
CHEMBL384763      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.9949	15.3058	-	-	-	-	G
CHEMBL384763      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.998	15.0612	-	-	-	-	G
CHEMBL384763      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9952	3.77933	-	-	-	-	G
CHEMBL384763      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	90.3192	14.7896	-	-	-	-	G
CHEMBL384763      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-60.0085	1.39247	-	-	-	-	G
CHEMBL384763      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	120.005	1.75348	-	-	-	-	G
CHEMBL215947      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-60.0009	1.39247	-	-	-	-	G
CHEMBL215947      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	119.999	1.75348	-	-	-	-	G
CHEMBL215947      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-135.001	0.148746	-	-	-	-	R
CHEMBL215947      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0077	3.99483	-	-	-	-	G
CHEMBL215947      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.9935	15.3058	-	-	-	-	G
CHEMBL215947      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	148.624	0.759429	-	-	-	-	O
C20806956      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-29.9974	2.32396	-	-	-	-	G
C20806956      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	149.996	0.447375	-	-	-	-	O
C20806956      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-179.697	11.4213	-	-	-	-	G
C20806956      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.0034	2.01135	-	-	-	-	G
C20806956      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	90.0026	2.8728	-	-	-	-	G
