MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL489711      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	180	66.092	-	-	-	-	G
CHEMBL489711      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00658413	63.7893	-	-	-	-	G
CHEMBL489711      none	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	-60.003	0.552486	-	-	-	-	R
CHEMBL489711      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	150.001	1.92845	-	-	-	-	G
CHEMBL489711      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-60.0015	1.39247	-	-	-	-	G
CHEMBL489514      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	179.999	66.092	-	-	-	-	G
CHEMBL489514      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00168814	63.7893	-	-	-	-	G
CHEMBL489514      none	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	-59.9949	0.552486	-	-	-	-	R
CHEMBL489514      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	149.997	1.92845	-	-	-	-	G
CHEMBL489514      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-59.9978	1.39247	-	-	-	-	G
CHEMBL489710      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	119.999	1.75348	-	-	-	-	G
CHEMBL489710      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-29.9979	2.06819	-	-	-	-	G
CHEMBL489710      none	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	-59.9992	0.552486	-	-	-	-	R
CHEMBL489710      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.000680614	63.7893	-	-	-	-	G
CHEMBL489710      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	179.997	66.092	-	-	-	-	G
CHEMBL575705      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	119.998	1.75348	-	-	-	-	G
CHEMBL575705      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-60.0014	2.06819	-	-	-	-	G
CHEMBL575705      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	180	11.4213	-	-	-	-	G
CHEMBL575705      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	150.318	1.85775	-	-	-	-	O
CHEMBL574879      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-30.001	1.93298	-	-	-	-	O
CHEMBL574879      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-179.719	11.4213	-	-	-	-	G
CHEMBL574879      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	135.008	1.83993	-	-	-	-	G
CHEMBL574879      none	B	[aH0:1][c:2]!@[OX2:3][!#1:4]	89.992	6.39603	-	-	-	-	G
CHEMBL575087      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-59.9945	1.73028	-	-	-	-	O
