MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C27528599      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.9973	1.62815	-	-	-	-	O
C27528599      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	19.9988	2.88127	-	-	-	-	G
C27528599      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	120.003	2.00811	-	-	-	-	O
C27528599      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7158	7.30446	-	-	-	-	G
C27528599      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.838	23.2156	-	-	-	-	G
C27528599      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.995	11.3535	-	-	-	-	G
C27528599      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-179.736	14.7347	-	-	-	-	G
C32127628      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-90.013	0.64732	-	-	-	-	R
C32127628      none	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	90.0077	0.126195	-	-	-	-	G
C32127628      none	B	[$(C=O):1][NX3H1:2]!@[CX3:3]=[*H0:4]	-89.9989	0.569801	-	-	-	-	O
C32127628      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00204834	63.7893	-	-	-	-	G
C32127628      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	152.997	9.05971	-	-	-	-	G
C41435432      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	29.9985	2.23708	-	-	-	-	G
C41435432      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-179.712	12.4984	-	-	-	-	G
C41435432      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-89.9931	0.464773	-	-	-	-	R
C41435432      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	179.997	39.7757	-	-	-	-	G
C41435432      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	179.997	6.20075	-	-	-	-	G
C59016222      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	19.9986	2.80466	-	-	-	-	G
C59016222      none	B	[*^2:1]~[C^2:2]!@[C^2:3]~[*^2:4]	179.994	27.2239	-	-	-	-	G
C59016222      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C59016222      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.3174	1.9288	-	-	-	-	O
C59016222      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-90.0035	3.32646	-	-	-	-	G
C59016222      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	80.0017	6.41197	-	-	-	-	G
C59016222      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7272	7.30446	-	-	-	-	G
C60340397      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	90.0006	2.88889	-	-	-	-	G
C60340397      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	135.004	1.69481	-	-	-	-	O
C60340397      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	180	39.7757	-	-	-	-	G
C60340397      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-179.727	26.896	-	-	-	-	G
C60340397      none	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	0.0131066	15.7822	-	-	-	-	G
C60340397      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-120.005	2.3332	-	-	-	-	G
C02597718      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	149.995	3.28558	-	-	-	-	G
C02597718      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-29.9992	0.0844276	-	-	-	-	R
C02597718      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-29.9997	0.175703	-	-	-	-	O
C02597718      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-29.9542	2.32396	-	-	-	-	G
C02597718      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C02597718      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	-0.0145348	27.5459	-	-	-	-	G
