MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C39699710      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	59.9928	1.23291	-	-	-	-	O
C39699710      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	29.9993	2.39378	-	-	-	-	G
C39699710      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	-149.999	0.364964	-	-	-	-	O
C39699710      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	150.266	0.571247	-	-	-	-	G
C64085805      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-119.992	9.03499	-	-	-	-	G
C64085805      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-60	0	-	-	-	-	R
C64085805      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H1:3][H:4]	0.00221375	18	-	-	-	-	G
C64085805      none	B	[C:1][$(S(=O)=O):2]!@[NX3H0:3][C:4]	90.0014	9.95935	-	-	-	-	G
C64085805      none	B	[!#1:1][CX3:2]!@[SX4:3][!#1:4]	-149.728	0.543478	-	-	-	-	R
C34685737      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-149.717	1.37927	-	-	-	-	O
C34685737      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.000657693	26.3009	-	-	-	-	G
C34685737      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-89.733	1.29082	-	-	-	-	G
C34685737      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	179.998	39.7757	-	-	-	-	G
C34685737      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	45.3123	2.0463	-	-	-	-	O
C34685737      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	-0.00207306	2.33333	-	-	-	-	G
C34685737      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	150.276	2.50464	-	-	-	-	G
C34685737      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-79.9992	2.10499	-	-	-	-	G
C34685737      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-89.9946	5.42948	-	-	-	-	G
C25449354      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-60.0024	0.295938	-	-	-	-	R
C25449354      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	29.6049	3.28614	-	-	-	-	G
C25449354      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-59.9957	15.3415	-	-	-	-	G
C25449354      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	89.9992	0	-	-	-	-	R
C25449354      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00144239	63.7893	-	-	-	-	G
C25449354      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	119.998	2.43553	-	-	-	-	G
C25449354      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	149.994	3.42205	-	-	-	-	G
CHEMBL1082023      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	120.001	4.89762	-	-	-	-	G
CHEMBL1082023      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	119.993	3.63636	-	-	-	-	G
CHEMBL1082023      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-29.7063	1.17502	-	-	-	-	O
