MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C19373978      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	59.9952	1.72176	-	-	-	-	G
C19373978      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	179.975	6.20075	-	-	-	-	G
C19373978      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	30.4827	4.34028	-	-	-	-	G
C19373978      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.999	15.3058	-	-	-	-	G
C19373978      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	63.645	15.3058	-	-	-	-	G
CHEMBL240498      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-0.00558204	25.0866	-	-	-	-	G
CHEMBL240498      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	39.9988	0.998355	-	-	-	-	G
CHEMBL240498      none	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	84.1513	2.34731	-	-	-	-	O
CHEMBL240498      none	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	150.276	2.32505	-	-	-	-	O
CHEMBL240498      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL240498      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0032	3.77933	-	-	-	-	G
CHEMBL240498      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-62.4308	15.3415	-	-	-	-	G
CHEMBL248244      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	150.315	1.21045	-	-	-	-	G
CHEMBL248244      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	-30.0268	1.28499	-	-	-	-	G
CHEMBL248244      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	39.9993	0.998355	-	-	-	-	G
CHEMBL248244      none	B	[a:1][c:2]!@[CX4H0:3][CX3:4]	-30.001	2.52769	-	-	-	-	G
CHEMBL248244      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL248244      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9978	3.77933	-	-	-	-	G
CHEMBL248244      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-62.432	15.3415	-	-	-	-	G
CHEMBL246604      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-179.686	19.9269	-	-	-	-	G
CHEMBL246604      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	-30.0204	1.28499	-	-	-	-	G
CHEMBL246604      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	39.9981	0.998355	-	-	-	-	G
CHEMBL246604      none	B	[a:1][c:2]!@[CX4H0:3][CX3:4]	-29.9982	2.52769	-	-	-	-	G
CHEMBL246604      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.995	58.554	-	-	-	-	G
CHEMBL246604      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.996	3.77933	-	-	-	-	G
CHEMBL246604      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
