MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C63194377      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-179.443	22.1548	-	-	-	-	G
C63194377      none	B	[*:1][$(S(=O)=O):2]!@[NX3H0r:3][*:4]	90.0008	4.85782	-	-	-	-	G
C63194377      none	B	[!#1:1][CX4:2]!@[SX4:3][!#1:4]	160.001	2.73684	-	-	-	-	G
C63194377      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9938	3.99483	-	-	-	-	G
C63194377      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-119.993	0.79457	-	-	-	-	O
C50244728      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	30.0047	0.680979	-	-	-	-	O
C50244728      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	30.2701	0.680979	-	-	-	-	O
C50244728      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.00806768	0.495663	-	-	-	-	O
C44216672      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.986	23.2156	-	-	-	-	G
C44216672      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-120.002	7.57923	-	-	-	-	G
C44216672      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	180	22.1548	-	-	-	-	G
C44216672      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-119.998	0.79457	-	-	-	-	O
C12378882      none	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	90.3301	0.745822	-	-	-	-	O
C12378882      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C12378882      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-75.6816	6.01214	-	-	-	-	G
C12378882      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	30.0003	1.15477	-	-	-	-	G
C12378882      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH1])[cH1:4]	179.972	7.35294	-	-	-	-	G
C50244507      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-29.9976	0.692521	-	-	-	-	O
C50244507      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-30.0029	0.692521	-	-	-	-	O
C50244507      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-119.995	2.31561	-	-	-	-	O
C50244507      none	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	94.332	0.168067	-	-	-	-	R
C50244507      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
C50244507      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-120.004	0.79457	-	-	-	-	O
C51639311      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.00708632	0.495663	-	-	-	-	O
C51639311      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-159.548	2.15596	-	-	-	-	G
C51639311      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	30.0013	0.896722	-	-	-	-	O
C51639311      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	60.3005	3.02778	-	-	-	-	G
C40471515      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-149.996	1.37927	-	-	-	-	O
C40471515      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	-0.0113948	0.495663	-	-	-	-	O
C40471515      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-118.603	0.897291	-	-	-	-	O
C61145157      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	60.0045	3.02778	-	-	-	-	G
C61145157      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	0.267931	23.6549	-	-	-	-	G
C61145157      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	80.0024	2.21713	-	-	-	-	G
C61145157      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	119.993	0.41354	-	-	-	-	G
C26456961      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-150.024	5.07451	-	-	-	-	G
C26456961      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.000832426	63.7893	-	-	-	-	G
C26456961      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-29.9926	4.7619	-	-	-	-	G
C26456961      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-60.8739	15.3415	-	-	-	-	G
C26456961      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	88.8919	0.183795	-	-	-	-	R
C26456961      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00986437	63.7893	-	-	-	-	G
C26456961      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]Cl)[cH:4]	30.2792	4.71698	-	-	-	-	G
C54920293      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9953	12.3771	-	-	-	-	G
