MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C06920296      none	B	[!#1:1][CX3:2]!@[SX4:3][!#1:4]	-64.9945	9.51087	-	-	-	-	G
C06920296      none	B	[C:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	-90.0012	0	-	-	-	-	G
C06920296      none	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH1:4]	59.9934	3.17797	-	-	-	-	G
CHEMBL163269      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-119.677	3.00312	-	-	-	-	G
CHEMBL163269      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3101	2.482	-	-	-	-	G
CHEMBL163269      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	89.9783	14.7896	-	-	-	-	G
CHEMBL163269      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9999	3.99483	-	-	-	-	G
CHEMBL163269      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL163269      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	59.9985	7.53739	-	-	-	-	G
CHEMBL368193      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.994	15.0612	-	-	-	-	G
CHEMBL368193      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL368193      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9918	3.77933	-	-	-	-	G
CHEMBL368193      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-179.694	0.148746	-	-	-	-	R
CHEMBL368193      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-119.686	3.00312	-	-	-	-	G
CHEMBL368193      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3099	2.482	-	-	-	-	G
CHEMBL368193      none	B	[*:1]~[CX3:2]!@[n:3]~[*:4]	0.00614986	16.0235	-	-	-	-	G
CHEMBL359486      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.999	15.0612	-	-	-	-	G
CHEMBL359486      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL359486      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0037	3.77933	-	-	-	-	G
CHEMBL359486      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-179.696	0.148746	-	-	-	-	R
CHEMBL359486      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-119.693	3.00312	-	-	-	-	G
CHEMBL359486      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3121	2.482	-	-	-	-	G
CHEMBL359486      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH1])[cH0:4]	30.2729	0.845351	-	-	-	-	G
C39355263      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-159.999	2.15596	-	-	-	-	G
C39355263      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-31.4301	3.61778	-	-	-	-	G
C39355263      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	29.9923	5.20833	-	-	-	-	G
C39355263      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00889244	63.7893	-	-	-	-	G
C39355263      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	-120.004	2.75265	-	-	-	-	O
C39355263      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-134.682	2.0362	-	-	-	-	O
CHEMBL326688      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	59.994	15.3058	-	-	-	-	G
CHEMBL326688      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL326688      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9941	3.77933	-	-	-	-	G
CHEMBL326688      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	134.996	0.637484	-	-	-	-	R
CHEMBL326688      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3145	2.482	-	-	-	-	G
CHEMBL326688      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	60.2835	3.25561	-	-	-	-	G
CHEMBL6291      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	60.3015	3.25561	-	-	-	-	G
CHEMBL6291      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.303	2.482	-	-	-	-	G
CHEMBL6291      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	134.999	0.637484	-	-	-	-	R
CHEMBL6291      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9992	3.77933	-	-	-	-	G
CHEMBL6291      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0028	3.77933	-	-	-	-	G
CHEMBL6291      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	159.998	2.91722	-	-	-	-	G
CHEMBL366266      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.0018	1.9288	-	-	-	-	O
CHEMBL366266      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	-119.691	0.121451	-	-	-	-	R
CHEMBL366266      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3104	2.482	-	-	-	-	G
CHEMBL366266      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	134.998	0.637484	-	-	-	-	R
CHEMBL366266      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.996	3.77933	-	-	-	-	G
CHEMBL366266      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
CHEMBL366266      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	90.3097	13.2097	-	-	-	-	G
CHEMBL368895      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.997	15.0612	-	-	-	-	G
CHEMBL368895      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.999	58.554	-	-	-	-	G
CHEMBL368895      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9959	3.77933	-	-	-	-	G
CHEMBL368895      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-179.693	0.148746	-	-	-	-	R
CHEMBL368895      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-119.676	3.00312	-	-	-	-	G
CHEMBL368895      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	30.3091	2.482	-	-	-	-	G
CHEMBL368895      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH1])[cH0:4]	-149.743	1.34262	-	-	-	-	O
C10336764      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	93.1004	4.46981	-	-	-	-	G
C10336764      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-31.815	3.61778	-	-	-	-	G
C06887347      none	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	-90.0017	3.42205	-	-	-	-	G
C06887347      none	B	[C:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	-90.0011	0	-	-	-	-	G
C06887347      none	B	[!#1:1][CX3:2]!@[SX4:3][!#1:4]	-65.0028	11.413	-	-	-	-	G
CHEMBL178945      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.996	15.0612	-	-	-	-	G
CHEMBL178945      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
CHEMBL178945      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0015	3.77933	-	-	-	-	G
CHEMBL178945      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-179.687	0.148746	-	-	-	-	R
