MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C40704724      none	B	[cH1:1][c:2]([cH0])!@[NX3:3][a:4]	60.2641	2.49688	-	-	-	-	O
C40704724      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-179.716	11.4213	-	-	-	-	G
C40704724      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	179.994	49.7854	-	-	-	-	G
C40704724      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-89.9954	6.4105	-	-	-	-	G
C40704724      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9977	3.99483	-	-	-	-	G
C40704724      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C40704724      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	-179.696	0.161853	-	-	-	-	R
C13634066      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	59.9995	1.24025	-	-	-	-	O
C13634066      none	B	[nX2H0:1][c:2]([nX3H1])!@[NX3H1:3][C,c:4]	-0.00368468	17.4419	-	-	-	-	G
C13634066      none	B	[a:1][c:2]!@[CX4H2:3][CX3:4]	29.7613	0.732127	-	-	-	-	R
C13634066      none	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	-89.9975	2.5641	-	-	-	-	G
C13634066      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.00217647	74.4927	-	-	-	-	G
C03397932      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-29.9995	4.48578	-	-	-	-	G
C03397932      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-29.6803	1.93298	-	-	-	-	O
C03397932      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-134.995	2.0362	-	-	-	-	O
C03397932      none	B	[c:1][CX4H2:2]!@[OX2:3][C:4]	179.997	23.858	-	-	-	-	G
C03397932      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.00177923	74.4927	-	-	-	-	G
C03397932      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-150.006	0.413839	-	-	-	-	R
C03397932      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C03397932      none	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H2:3][!#1:4]	-120.003	2.14592	-	-	-	-	O
C03397932      none	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	60.003	14.5215	-	-	-	-	G
C03397932      none	B	[aH0:1][c:2]([aH0])!@[SX4:3][!#1:4]	59.9998	4.18994	-	-	-	-	G
C25499563      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	179.998	48.7454	-	-	-	-	G
C25499563      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	149.753	1.18859	-	-	-	-	O
C25499563      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-75.0048	8.00317	-	-	-	-	G
C25499563      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	89.9956	1.62893	-	-	-	-	O
C25499563      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	-179.728	7.75155	-	-	-	-	G
C25499563      none	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-89.7234	0	-	-	-	-	R
CHEMBL279643      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	44.9983	1.8797	-	-	-	-	O
CHEMBL279643      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-134.731	2.23684	-	-	-	-	O
CHEMBL279643      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	180	26.896	-	-	-	-	G
CHEMBL279643      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	179.995	43.8829	-	-	-	-	G
CHEMBL279643      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
CHEMBL279643      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	-89.6884	13.2844	-	-	-	-	G
C15812432      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-149.997	1.98526	-	-	-	-	O
C15812432      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00178834	63.7893	-	-	-	-	G
C15812432      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	60.0085	2.38699	-	-	-	-	G
C15812432      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-60.0019	7.13757	-	-	-	-	G
C15812432      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	29.9952	0.412584	-	-	-	-	O
C15812432      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	0.00263831	10.9271	-	-	-	-	G
C15812432      none	B	[cH1:1][c:2]([cH0])!@[NX3:3][a:4]	-119.721	2.24719	-	-	-	-	G
C20494684      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C20494684      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.99	58.554	-	-	-	-	G
