MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL272309      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	149.978	5.05437	-	-	-	-	G
CHEMBL272309      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00563102	63.7893	-	-	-	-	G
CHEMBL272309      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-26.9976	8.39053	-	-	-	-	G
CHEMBL272309      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.996	1.85018	-	-	-	-	G
CHEMBL402957      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	149.973	5.05437	-	-	-	-	G
CHEMBL402957      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00152391	63.7893	-	-	-	-	G
CHEMBL402957      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-27.0061	8.39053	-	-	-	-	G
CHEMBL402957      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.0013	1.75235	-	-	-	-	G
CHEMBL255605      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	149.985	5.05437	-	-	-	-	G
CHEMBL255605      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00954919	63.7893	-	-	-	-	G
CHEMBL255605      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-26.9872	8.39053	-	-	-	-	G
CHEMBL255605      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.999	1.85018	-	-	-	-	G
C53069584      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	89.9961	14.2516	-	-	-	-	G
C53069584      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	149.998	0.884397	-	-	-	-	O
C53069584      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-80.0032	2.4811	-	-	-	-	G
C53069584      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	79.9937	3.55056	-	-	-	-	G
C53069584      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	60.0002	15.3058	-	-	-	-	G
C53069584      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-67.5129	5.43323	-	-	-	-	G
C53069584      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	39.9956	1.66292	-	-	-	-	G
CHEMBL429922      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-26.978	8.39053	-	-	-	-	G
CHEMBL429922      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-159.998	1.85018	-	-	-	-	G
CHEMBL429922      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00497044	63.7893	-	-	-	-	G
CHEMBL429922      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	179.999	66.092	-	-	-	-	G
CHEMBL404224      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-26.9905	8.39053	-	-	-	-	G
CHEMBL404224      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.0053	1.75235	-	-	-	-	G
CHEMBL404224      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000302807	63.7893	-	-	-	-	G
CHEMBL404224      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	180	66.092	-	-	-	-	G
C20849452      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	120	0.806964	-	-	-	-	G
C20849452      none	B	[*:1]~[cX3:2]!@[NX3:3]~[*:4]	-59.7313	1.20346	-	-	-	-	O
C20849452      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-89.9963	7.87941	-	-	-	-	G
C04100113      none	B	[cH0:1][c:2]([cH0])!@[CX3!r:3]=[NX2!r:4]	179.998	17.1941	-	-	-	-	G
C04100113      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C04100113      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	164.318	2.91722	-	-	-	-	G
C04100113      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	30.0016	1.15477	-	-	-	-	G
