MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C52840803      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	-30.0049	0.05615	-	-	-	-	G
C52840803      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	-90.276	1.8357	-	-	-	-	O
C52840803      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	90.0022	7.74238	-	-	-	-	G
C52840803      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.977	23.2156	-	-	-	-	G
CHEMBL103      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-26.5062	3.42621	-	-	-	-	G
C39499594      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	59.9946	3.25561	-	-	-	-	G
C20088279      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	90.0057	1.22453	-	-	-	-	G
C20088279      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	40.0027	0.710397	-	-	-	-	G
C20088279      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.846	23.2156	-	-	-	-	G
C20088279      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	90	0	-	-	-	-	R
C49253640      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-135	0.959233	-	-	-	-	G
C49253640      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	60.003	0.649351	-	-	-	-	G
C49253640      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-0.00520696	23.6549	-	-	-	-	G
C49253640      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	-89.9991	3.27273	-	-	-	-	G
C37243798      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-59.9943	1.48348	-	-	-	-	G
C37243798      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-60.0112	6.546	-	-	-	-	G
C37243798      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	120.002	0	-	-	-	-	R
C40260259      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	89.9966	1.22453	-	-	-	-	G
C40260259      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	0.00355206	1.53503	-	-	-	-	G
C37277062      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	180	0.512475	-	-	-	-	G
C37277062      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-119.994	4.10724	-	-	-	-	O
C37277062      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	59.9954	1.23291	-	-	-	-	O
C36751410      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-150.004	2.59662	-	-	-	-	G
C36751410      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	120.001	0	-	-	-	-	R
C37249096      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-90.0011	7.30446	-	-	-	-	G
C37249096      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	89.9952	6.33327	-	-	-	-	G
C37249096      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	-89.7264	8.30904	-	-	-	-	G
C37392608      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0034	3.48172	-	-	-	-	G
C37392608      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	59.9999	5.65868	-	-	-	-	G
C37392608      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.826	23.2156	-	-	-	-	G
C37392608      none	B	[cH0:1][c:2]([cH0])!@[NX3:3][CX4:4]	30.0011	1.50632	-	-	-	-	O
C37297576      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-160.001	4.72103	-	-	-	-	O
C37297576      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	180	11.3535	-	-	-	-	G
C37297576      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-45.0004	1.84995	-	-	-	-	G
C37297576      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-29.7269	2.13592	-	-	-	-	G
C37297576      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	90.0016	0.00502866	-	-	-	-	R
C49490823      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	159.998	2.91722	-	-	-	-	G
C49490823      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-119.999	1.95977	-	-	-	-	G
C20526313      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-150.279	2.93999	-	-	-	-	G
C20526313      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	60.0027	5.65868	-	-	-	-	G
