MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C13149034      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-150.002	1.98526	-	-	-	-	O
C13149034      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00183626	63.7893	-	-	-	-	G
C13149034      none	B	[OX2:1][CX4H2:2]!@[CX3:3]([$([NX3H1,NX3H2])])=[O:4]	120.002	0	-	-	-	-	R
C13149034      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	89.9971	4.53893	-	-	-	-	G
C13149034      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.00948468	74.4927	-	-	-	-	G
C13149034      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	0.258034	14.2319	-	-	-	-	G
C13149034      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-29.7266	1.1203	-	-	-	-	G
C03145920      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	180	49.7854	-	-	-	-	G
C03145920      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-150	1.95018	-	-	-	-	O
C03145920      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-30.0021	4.7619	-	-	-	-	G
C03145920      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00412892	63.7893	-	-	-	-	G
C03145920      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C03145920      none	B	[cH1:1][c:2]([cH0])!@[CX3x0:3]=[NX2:4]	-149.722	0.0354484	-	-	-	-	G
C03145920      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	119.999	4.41767	-	-	-	-	G
C03145920      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	0.00342597	73.7697	-	-	-	-	G
