MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C38904015      none	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	-119.731	5.28723	-	-	-	-	G
C38904015      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])	-179.687	10.6726	-	-	-	-	G
C38904015      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	44.9961	1.59785	-	-	-	-	O
C38904015      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-179.358	15.0612	-	-	-	-	G
C38904015      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	119.845	3.75937	-	-	-	-	G
C38904015      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00618301	63.7893	-	-	-	-	G
C38904015      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-119.998	2.61599	-	-	-	-	O
C38904015      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0006	3.77933	-	-	-	-	G
C38904015      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-80.0003	6.01214	-	-	-	-	G
C38904015      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-160.003	3.18377	-	-	-	-	G
C38904015      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7302	7.30446	-	-	-	-	G
C40313518      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.000231676	26.3009	-	-	-	-	G
C40313518      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	179.998	43.8829	-	-	-	-	G
C40313518      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	179.991	13.4277	-	-	-	-	G
C40313518      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	79.9979	3.55056	-	-	-	-	G
C40313518      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-159.995	2.15596	-	-	-	-	G
C40313518      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	79.9898	2.21713	-	-	-	-	G
C40313518      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-59.9954	15.3415	-	-	-	-	G
C40313518      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	135.307	1.69481	-	-	-	-	O
C40313518      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	150.535	2.6253	-	-	-	-	G
C00748458      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.267218	26.3009	-	-	-	-	G
C00748458      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.9977	7.30446	-	-	-	-	G
C00748458      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	79.9919	6.41197	-	-	-	-	G
C00748458      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.0036	2.01135	-	-	-	-	G
C00748458      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	134.996	1.8443	-	-	-	-	O
