MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C40720409      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-45.0014	1.84995	-	-	-	-	G
C40720409      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	149.999	1.03538	-	-	-	-	R
C40720409      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-120.285	0.327297	-	-	-	-	R
C40720409      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-45.0038	1.84995	-	-	-	-	G
C40720409      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	60.0057	15.3058	-	-	-	-	G
C40720409      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C40720409      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0068	3.99483	-	-	-	-	G
C40720409      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C40720409      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C40720409      none	B	[OX2:1][CX4H2:2]!@[CX4H2:3][N:4]	59.9887	17.6955	-	-	-	-	G
C19366314      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.021	3.7643	-	-	-	-	G
C19366314      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-40.0103	1.41573	-	-	-	-	G
C19366314      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C19366314      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.997	15.0612	-	-	-	-	G
C19366314      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0067	3.77933	-	-	-	-	G
C53040643      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-135	2.0362	-	-	-	-	O
C53040643      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	60.0025	15.3058	-	-	-	-	G
C53040643      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
C53040643      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-79.9971	1.71775	-	-	-	-	G
