MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL195288      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9987	12.3771	-	-	-	-	G
CHEMBL195288      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.998	1.81259	-	-	-	-	G
CHEMBL195288      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	61.1027	12.3771	-	-	-	-	G
CHEMBL195288      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	29.9957	9.46757	-	-	-	-	G
CHEMBL195288      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	-92.0895	0.504612	-	-	-	-	O
CHEMBL195288      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	89.9988	0.86741	-	-	-	-	O
CHEMBL195288      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0112874	63.7893	-	-	-	-	G
C17020160      none	B	[cH0:1][c:2]!@[C:3](=[N:4])	89.9644	0.57398	-	-	-	-	G
C17020160      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	59.9956	3.54922	-	-	-	-	G
C17020160      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-163.989	0.511128	-	-	-	-	G
CHEMBL400552      none	B	[$([CX3]([C])([H])):1]=[CX3:2]([H])!@[CH1:3](C)[C:4]	154.497	2.09205	-	-	-	-	R
CHEMBL400552      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	89.9971	0.86741	-	-	-	-	O
CHEMBL400552      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.996	1.81259	-	-	-	-	G
CHEMBL400552      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	160.515	1.1236	-	-	-	-	O
CHEMBL400552      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	0.00199311	8.26772	-	-	-	-	G
CHEMBL400552      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00375394	63.7893	-	-	-	-	G
C64219079      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	179.975	13.4277	-	-	-	-	G
C64219079      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	0.0023661	4.26659	-	-	-	-	G
C64219079      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	-30.0031	6.07621	-	-	-	-	G
C64219079      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-60.0948	16.2177	-	-	-	-	G
CHEMBL254884      none	B	[$([CX3]([C])([H])):1]=[CX3:2]([H])!@[CH1:3](C)[C:4]	154.484	2.09205	-	-	-	-	R
CHEMBL254884      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	90.0023	0.86741	-	-	-	-	O
CHEMBL254884      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	159.993	1.81259	-	-	-	-	G
CHEMBL254884      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	179.991	9.8427	-	-	-	-	G
CHEMBL254884      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	0.00279292	8.26772	-	-	-	-	G
CHEMBL254884      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-79.9976	1.71775	-	-	-	-	G
CHEMBL254884      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	-40.0122	11.8876	-	-	-	-	O
CHEMBL254884      none	B	[CX3:1]=[CX3:2]!@[CH2:3][C:4]	119.999	8.89643	-	-	-	-	G
CHEMBL254884      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0114519	63.7893	-	-	-	-	G
CHEMBL195871      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0038	12.3771	-	-	-	-	G
CHEMBL195871      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	160.002	1.81259	-	-	-	-	G
CHEMBL195871      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	61.1013	12.3771	-	-	-	-	G
CHEMBL195871      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	30.0006	9.46757	-	-	-	-	G
CHEMBL195871      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	87.9131	0.477016	-	-	-	-	O
CHEMBL195871      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	90.0084	0.86741	-	-	-	-	O
CHEMBL195871      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00112362	63.7893	-	-	-	-	G
CHEMBL348207      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00453539	63.7893	-	-	-	-	G
CHEMBL348207      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	30.0047	9.46757	-	-	-	-	G
CHEMBL348207      none	B	[C:1][CX4:2]!@[NX3:3][C:4]	-89.9942	4.74684	-	-	-	-	G
CHEMBL348207      none	B	[!#1:1][CX4:2]!@[CX3H0:3][!#1:4]	-150.017	2.58987	-	-	-	-	G
CHEMBL348207      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	178.813	13.4277	-	-	-	-	G
CHEMBL348207      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	40.016	0.511128	-	-	-	-	G
CHEMBL348207      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	180	13.4277	-	-	-	-	G
C39880554      none	B	[$(C=O):1][NX3:2]!@[$([a]([cH1])):3][$([aH0](!@O)):4]	-150	2.68293	-	-	-	-	G
C39880554      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00584845	63.7893	-	-	-	-	G
C39880554      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	89.9984	2.11706	-	-	-	-	O
C39880554      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0065	12.3771	-	-	-	-	G
C39880554      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	0.00130886	0.495663	-	-	-	-	O
C39880554      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-39.9986	2.20693	-	-	-	-	G
C39880554      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.997	15.0612	-	-	-	-	G
C39880554      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-179.703	2.35335	-	-	-	-	O
C44501854      none	B	[$([cH0](=O)):1][c:2]([cH1])!@[CX3:3]([NX3H1,NX3H2])=[O:4]	-30.0164	0	-	-	-	-	R
C44501854      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0142443	63.7893	-	-	-	-	G
C44501854      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	90.012	7.35439	-	-	-	-	G
C44501854      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.0832	1.75235	-	-	-	-	G
C49079365      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	59.9997	3.42939	-	-	-	-	G
C49079365      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	90.0008	12.916	-	-	-	-	G
C49079365      none	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	-60.0003	13.7514	-	-	-	-	G
C49079365      none	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H2:3][!#1:4]	179.999	9.01288	-	-	-	-	G
C49079365      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0017	3.99483	-	-	-	-	G
C49079365      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	-134.693	0.908865	-	-	-	-	O
C37543259      none	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-159.997	4.58918	-	-	-	-	G
C37543259      none	B	[CX4:1][CX4H2:2]!@[NX3;"N_lp":3][CX4:4]	80.0003	8.72362	-	-	-	-	G
C37543259      none	B	[C:1][CX4H2:2]!@[NX3;"N_lp":3][C:4]	-159.999	6.16939	-	-	-	-	G
C37543259      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-163.662	1.21348	-	-	-	-	O
C37543259      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-149.998	2.38095	-	-	-	-	G
CHEMBL119140      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL119140      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0024	3.77933	-	-	-	-	G
CHEMBL119140      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.997	22.1548	-	-	-	-	G
CHEMBL119140      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-63.1957	12.2558	-	-	-	-	G
CHEMBL119140      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	30.0042	9.46757	-	-	-	-	G
CHEMBL119140      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	90	0.86741	-	-	-	-	O
CHEMBL119140      none	B	[*:1]~[CX4:2]!@[NX3:3]~[*:4]	180	6.01433	-	-	-	-	G
CHEMBL119140      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00016846	63.7893	-	-	-	-	G
CHEMBL399060      none	B	[$([CX3]([C])([H])):1]=[CX3:2]([H])!@[CH1:3](C)[C:4]	154.492	2.09205	-	-	-	-	R
CHEMBL399060      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	89.9985	0.86741	-	-	-	-	O
CHEMBL399060      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	160.001	1.81259	-	-	-	-	G
CHEMBL399060      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	160.008	1.1236	-	-	-	-	O
CHEMBL399060      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	0.00514008	8.26772	-	-	-	-	G
CHEMBL399060      none	B	[*:1]~[CX4:2]!@[CX3:3]~[*:4]	-90.0037	1.90518	-	-	-	-	G
CHEMBL399060      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	3.60693e-05	63.7893	-	-	-	-	G
C44932595      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-151.743	3.58916	-	-	-	-	G
C44932595      none	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-60.4031	7.07677	-	-	-	-	G
C44932595      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00688903	63.7893	-	-	-	-	G
C44932595      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	149.997	2.27848	-	-	-	-	G
C44932595      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-179.685	2.35335	-	-	-	-	O
CHEMBL254885      none	B	[$([CX3]([C])([H])):1]=[CX3:2]([H])!@[CH1:3](C)[C:4]	154.497	2.09205	-	-	-	-	R
CHEMBL254885      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	90.002	0.86741	-	-	-	-	O
CHEMBL254885      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.999	22.1548	-	-	-	-	G
