MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C17821191      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
C17821191      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-29.9974	1.04712	-	-	-	-	O
C17821191      none	B	[nX2H0:1][c:2]([nX3H1])!@[NX3H1:3][C,c:4]	-179.744	36.0465	-	-	-	-	G
C17821191      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	-0.00471733	27.0519	-	-	-	-	G
C17821191      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	29.9931	0.533408	-	-	-	-	G
C17821191      none	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	59.9941	0.110899	-	-	-	-	G
C17821191      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	0.276592	14.2319	-	-	-	-	G
C17821191      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	-149.726	3.94079	-	-	-	-	G
C00731386      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	150.003	1.85775	-	-	-	-	O
C00731386      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	-30.0006	0.267112	-	-	-	-	R
C00731386      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	180	37.0618	-	-	-	-	G
C00731386      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	180	29.4914	-	-	-	-	G
C00731386      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-179.73	13.9437	-	-	-	-	G
C00731386      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	120.005	4.41767	-	-	-	-	G
C00731386      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-30.0106	0.0844276	-	-	-	-	R
C00731386      none	B	[s:1][c:2]([aX2,cH1])!@[CX3:3](O)=[O:4]	30.0105	0	-	-	-	-	R
C39482473      none	B	[C:1][CX4H2:2]!@[OX2:3][!#1:4]	179.997	29.7764	-	-	-	-	G
C39482473      none	B	[*:1]~[OX2:2]!@[SX4:3]~[*:4]	-59.9984	3.39897	-	-	-	-	G
C39482473      none	B	[*:1][$(S(=O)=O):2]!@[NX3H1:3][*:4]	-89.9955	4.38465	-	-	-	-	G
C39482473      none	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	-90.2866	3.42205	-	-	-	-	G
C39482473      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	149.994	1.41118	-	-	-	-	G
C39482473      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	120.271	2.29463	-	-	-	-	O
C39944691      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	179.996	23.3458	-	-	-	-	G
C39944691      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.00402716	74.4927	-	-	-	-	G
C39944691      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-179.695	19.9269	-	-	-	-	G
C39944691      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	89.9628	1.26539	-	-	-	-	G
C39944691      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	30.0057	2.80888	-	-	-	-	G
C39944691      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	-29.9934	11.3505	-	-	-	-	G
C39944691      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.0099598	74.4927	-	-	-	-	G
C39944691      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-119.989	0.79457	-	-	-	-	O
C39944691      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
C39944691      none	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H2:3][!#1:4]	-120	2.14592	-	-	-	-	O
C39944691      none	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	60.002	14.5215	-	-	-	-	G
C39944691      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	90.2676	12.916	-	-	-	-	G
C14010123      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	27.0277	8.08167	-	-	-	-	G
C14010123      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000622479	63.7893	-	-	-	-	G
C14010123      none	B	[$(C=O):1][NX3H1:2]!@[CX3:3]=[*H0:4]	89.9959	0.2849	-	-	-	-	O
C14010123      none	B	[!#1:1][CX3:2](=S)!@[NX3H0:3][!#1:4]	0.285678	21.9424	-	-	-	-	G
C14010123      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	179.997	22.1548	-	-	-	-	G
C14010123      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-60.0056	2.08575	-	-	-	-	O
C14010123      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	30.006	0.0796663	-	-	-	-	R
C14010123      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	30.0011	10.7465	-	-	-	-	G
C39898278      none	B	[C:1][CH2:2]!@[O:3][CX4:4]	79.996	1.71561	-	-	-	-	G
C39898278      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.001	3.99483	-	-	-	-	G
C39898278      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C39898278      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-150.309	0.0857633	-	-	-	-	R
C39898278      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-149.997	3.72593	-	-	-	-	G
C39898278      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-119.741	0.81648	-	-	-	-	R
C64070047      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	149.954	1.21045	-	-	-	-	O
C64070047      none	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	-29.9925	1.80261	-	-	-	-	O
C64070047      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-59.9953	0.757173	-	-	-	-	O
C64070047      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	90.2955	1.96062	-	-	-	-	O
C39898026      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-149.975	3.72593	-	-	-	-	G
C39898026      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-119.754	0.81648	-	-	-	-	R
C39898026      none	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-150.061	0.0857633	-	-	-	-	R
C39898026      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
C39898026      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9964	3.77933	-	-	-	-	G
C63393594      none	B	[cH0:1][c:2]!@[CX4H1:3][N,O,S:4]	122.556	3.75884	-	-	-	-	G
C63393594      none	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	-150.081	0.338855	-	-	-	-	R
C63393594      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	179.997	11.1654	-	-	-	-	G
C63393594      none	B	[!#1:1][CX4:2]!@[CX3H0:3][!#1:4]	60.0047	4.20603	-	-	-	-	G
C63393594      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-59.6959	1.53044	-	-	-	-	O
C53527232      none	B	[O:1]=[CX3:2]!@[CX4H1r3:3][H:4]	-59.9932	0.666667	-	-	-	-	R
C53527232      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00139879	63.7893	-	-	-	-	G
C53527232      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-149.999	5.07451	-	-	-	-	G
C53527232      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-150	2.34391	-	-	-	-	G
C53527232      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-29.6924	1.57181	-	-	-	-	O
C53527232      none	B	[a:1][ar6:2]!@[ar5:3][a:4]	0.260747	7.24965	-	-	-	-	G
C39434188      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-42.7776	4.29807	-	-	-	-	G
C39434188      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	149.966	5.05437	-	-	-	-	G
C39434188      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0103774	63.7893	-	-	-	-	G
C39434188      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-30.0084	3.82256	-	-	-	-	G
C39434188      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-59.9945	7.13757	-	-	-	-	G
C39434188      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	59.7278	1.24514	-	-	-	-	O
C39434188      none	B	[nX2r6:1][cH0r6:2]([cH1r6])!@[CX4H2:3][O!H:4]	180	17.5676	-	-	-	-	G
