MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C01024027      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.9968	1.62815	-	-	-	-	O
C01024027      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-160.001	3.18377	-	-	-	-	G
C01024027      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-30.0004	0.51573	-	-	-	-	O
C01024027      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.0022	1.9288	-	-	-	-	O
C01024027      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	120.283	2.92279	-	-	-	-	G
C49391636      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-60.0016	0.0514271	-	-	-	-	R
C49391636      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	180	0.148746	-	-	-	-	R
C49391636      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-44.6658	1.48496	-	-	-	-	O
C35285805      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-59.9963	3.48172	-	-	-	-	G
C35285805      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-149.996	2.59662	-	-	-	-	G
C35285805      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	59.9965	1.23291	-	-	-	-	O
C37544781      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	89.9795	0.6255	-	-	-	-	R
C37544781      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9919	3.77933	-	-	-	-	G
C37544781      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	180	39.7757	-	-	-	-	G
C37544781      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	44.9943	3.35731	-	-	-	-	G
C00304819      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	149.997	2.43757	-	-	-	-	G
C00304819      none	B	[s:1][c:2]([aX2,cH1])!@[CX3:3]=[O:4]	149.997	0	-	-	-	-	R
C62140742      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.007	3.7643	-	-	-	-	G
C62140742      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.007	12.3771	-	-	-	-	G
C62140742      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-89.7379	11.9355	-	-	-	-	G
C36919500      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0132	3.48172	-	-	-	-	G
C36919500      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-150	2.59662	-	-	-	-	G
C36919500      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	59.9947	1.23291	-	-	-	-	O
C36919500      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	120.006	2.09614	-	-	-	-	G
C36919500      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-60.007	7.13757	-	-	-	-	G
CHEMBL363228      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.7378	5.93207	-	-	-	-	G
CHEMBL363228      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-59.6912	5.93207	-	-	-	-	G
C05631298      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-30.0047	0.127253	-	-	-	-	R
C05631298      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	180	11.1654	-	-	-	-	G
C05631298      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-59.995	1.39247	-	-	-	-	G
C05631298      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-90	3.32646	-	-	-	-	G
C05631298      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-59.9977	2.06819	-	-	-	-	G
C40230040      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	179.722	0.512475	-	-	-	-	G
C40230040      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-90.0001	3.22537	-	-	-	-	G
C40230040      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-149.996	1.00143	-	-	-	-	O
C49475774      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	179.998	9.31373	-	-	-	-	G
C49475774      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.000623079	63.7893	-	-	-	-	G
C49475774      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	150.004	2.27848	-	-	-	-	G
C49475774      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.7313	1.62815	-	-	-	-	O
C41022815      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	-29.9956	0.05615	-	-	-	-	G
C41022815      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-159.728	2.66685	-	-	-	-	O
C41022815      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	89.9968	7.74238	-	-	-	-	G
C36750503      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-60.0051	3.48172	-	-	-	-	G
C36750503      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-150.004	2.59662	-	-	-	-	G
C36750503      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-150.002	1.00143	-	-	-	-	O
C26906516      none	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	90.0023	13.8915	-	-	-	-	G
C26906516      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([s,o])[n:4]	-29.6756	0	-	-	-	-	O
C26906516      none	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	179.997	18.3322	-	-	-	-	G
C26906516      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	-59.6598	3.63889	-	-	-	-	G
C37220211      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	160.004	2.99518	-	-	-	-	G
C37220211      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-59.9962	1.39023	-	-	-	-	O
C37220211      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	0.314095	2.24426	-	-	-	-	O
C35285757      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-59.9891	3.48172	-	-	-	-	G
C35285757      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-149.997	2.59662	-	-	-	-	G
C35285757      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-120.004	0	-	-	-	-	R
C40257882      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	29.9932	3.56196	-	-	-	-	G
C40257882      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	90.0004	1.22453	-	-	-	-	G
C40230373      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-150.002	1.00143	-	-	-	-	O
C40230373      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	120.003	4.42569	-	-	-	-	O
C40230373      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-119.999	3.08052	-	-	-	-	G
C40230373      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-149.999	3.72593	-	-	-	-	G
C50339855      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	89.9978	1.22453	-	-	-	-	G
C50339855      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-149.993	2.59662	-	-	-	-	G
C50339855      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	89.9952	0.924685	-	-	-	-	O
C09563574      none	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	90.0048	0.126195	-	-	-	-	G
C09563574      none	B	[O:1]=[CX3:2]!@[CX4H1r3:3][H:4]	90.0058	0.166667	-	-	-	-	R
C09563574      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.003	15.4696	-	-	-	-	G
C09563574      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
C09563574      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	80.003	6.41197	-	-	-	-	G
C40856966      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-30.0021	2.33993	-	-	-	-	G
C40856966      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	0.00410914	10.9271	-	-	-	-	G
C40856966      none	B	[cH0:1][c:2]([cH0])!@[NX3H1:3][C,c:4]	-119.727	4.83294	-	-	-	-	G
C21954082      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	89.9996	7.24386	-	-	-	-	G
C21954082      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	160	2.91722	-	-	-	-	G
C21954082      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	90.0055	3.2491	-	-	-	-	G
C21954082      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-89.9985	2.13435	-	-	-	-	O
C21954082      none	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	-179.676	13.7809	-	-	-	-	G
C40243451      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-89.9978	1.29082	-	-	-	-	G
C40243451      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	180	1.64318	-	-	-	-	G
C21651648      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	135	0.747943	-	-	-	-	O
C21651648      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	179.997	11.4213	-	-	-	-	G
C21651648      none	B	[cH1:1][c:2]([cH0])!@[NX3:3][a:4]	-29.7202	5.36829	-	-	-	-	G
C61815412      none	B	[cH1:1][c:2]([cH0])!@[O:3][c:4]	-60.0327	3.44086	-	-	-	-	G
C61815412      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	90.2836	3.67985	-	-	-	-	G
C06114110      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-89.9997	3.32646	-	-	-	-	G
C06114110      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	180	11.1654	-	-	-	-	G
C06114110      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7117	7.30446	-	-	-	-	G
C62144219      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	29.9969	4.04281	-	-	-	-	G
C62144219      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0019	12.3771	-	-	-	-	G
C62144219      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-89.7318	11.9355	-	-	-	-	G
C36957369      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-90.0036	1.29082	-	-	-	-	G
C36957369      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	60.0028	5.65868	-	-	-	-	G
C36957369      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	90.0103	0	-	-	-	-	R
C36957369      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	60.2625	1.24514	-	-	-	-	O
C19233159      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.9701	7.30446	-	-	-	-	G
C19233159      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	120.006	2.00811	-	-	-	-	O
C19233159      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	20.2758	2.88127	-	-	-	-	G
C37202708      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-60.0023	1.1056	-	-	-	-	O
C37202708      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-27.9351	0.261296	-	-	-	-	O
C36765911      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	120.303	5.49382	-	-	-	-	G
C36765911      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-29.7386	1.79997	-	-	-	-	O
C51596276      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	-29.7257	1.63934	-	-	-	-	O
C51596276      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	179.971	49.7854	-	-	-	-	G
C43459904      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	89.9812	0.6255	-	-	-	-	R
C43459904      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	150.001	1.03538	-	-	-	-	R
C43459904      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	44.9951	3.35731	-	-	-	-	G
C21981713      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-149.964	1.39181	-	-	-	-	O
