MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL1209676      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	179.725	0.512475	-	-	-	-	G
CHEMBL1209676      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	150.002	0.00502866	-	-	-	-	R
CHEMBL1209676      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	89.9927	0.0970874	-	-	-	-	R
CHEMBL1209676      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	149.97	3.42205	-	-	-	-	G
CHEMBL1209676      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	0.0168386	9.67683	-	-	-	-	G
CHEMBL1209676      none	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-149.725	7.41023	-	-	-	-	G
CHEMBL1208965      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	89.7231	4.45044	-	-	-	-	G
CHEMBL1208965      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-60.0061	2.37856	-	-	-	-	G
CHEMBL1208965      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	30.0039	3.20388	-	-	-	-	G
CHEMBL1208965      none	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	149.975	3.42205	-	-	-	-	G
CHEMBL1208965      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	180	9.31373	-	-	-	-	G
CHEMBL1208965      none	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	30.286	7.83628	-	-	-	-	G
CHEMBL1208965      none	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	180	15.9091	-	-	-	-	G
CHEMBL1208965      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-90.3978	3.22537	-	-	-	-	G
C38905111      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	-90.0033	4.43359	-	-	-	-	G
C38905111      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-29.9949	0.0890388	-	-	-	-	R
C38905111      none	B	[$([cH0]!@[*^2]):1][c:2]([cH1])!@[CX3:3]=[O:4]	0.00148579	22.9851	-	-	-	-	G
C38905111      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-119.998	2.3332	-	-	-	-	G
C38905111      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0040464	63.7893	-	-	-	-	G
C38905111      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-59.9092	2.40592	-	-	-	-	G
C38905111      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-79.998	2.10499	-	-	-	-	G
C38905111      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.6843	1.62815	-	-	-	-	O
C38905111      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])	-19.7287	3.43881	-	-	-	-	G
C64031638      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-63.1111	1.73074	-	-	-	-	O
C64031638      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.005632	63.7893	-	-	-	-	G
C64031638      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	180	5.78057	-	-	-	-	G
