MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C04365651      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	30.0034	3.96079	-	-	-	-	G
C04365651      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-0.00141291	4.32395	-	-	-	-	G
C04365651      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	29.998	0.533408	-	-	-	-	G
C04365651      none	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	179.999	27.0317	-	-	-	-	G
CHEMBL315570      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-29.9948	2.35804	-	-	-	-	G
CHEMBL315570      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0005	12.3771	-	-	-	-	G
CHEMBL315570      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	89.6937	4.46981	-	-	-	-	G
CHEMBL55454      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	44.9985	0	-	-	-	-	R
CHEMBL55454      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9972	12.3771	-	-	-	-	G
CHEMBL83329      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-0.00681318	0.923965	-	-	-	-	G
CHEMBL83329      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	79.9991	1.75235	-	-	-	-	G
CHEMBL83329      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	89.6881	4.46981	-	-	-	-	G
CHEMBL56540      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0027	12.3771	-	-	-	-	G
CHEMBL56540      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	45.0022	0.0506329	-	-	-	-	R
CHEMBL435085      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	90.0105	7.74238	-	-	-	-	G
CHEMBL435085      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-165.211	6.19266	-	-	-	-	G
CHEMBL435085      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-59.9965	12.2558	-	-	-	-	G
CHEMBL81557      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-0.00400062	4.04784	-	-	-	-	G
CHEMBL81557      none	B	[cH1:1][c:2]([cH0])!@[O:3][c:4]	-89.6854	3.22581	-	-	-	-	G
CHEMBL516050      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	89.9789	7.74238	-	-	-	-	G
CHEMBL516050      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
CHEMBL516050      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-40.0028	2.20693	-	-	-	-	G
CHEMBL516050      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-60.0005	14.8764	-	-	-	-	G
CHEMBL516050      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-60.0043	14.8764	-	-	-	-	G
CHEMBL516050      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-79.9902	2.4811	-	-	-	-	G
CHEMBL43134      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	51.0538	0.593392	-	-	-	-	O
CHEMBL43134      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	63.01	15.2809	-	-	-	-	G
CHEMBL57218      none	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	89.9999	18.5823	-	-	-	-	G
CHEMBL57218      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.38	1.75235	-	-	-	-	G
CHEMBL269866      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	90.0043	7.74238	-	-	-	-	G
CHEMBL269866      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-82.4351	2.10499	-	-	-	-	O
CHEMBL269866      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	179.998	9.8427	-	-	-	-	G
