MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C57318287      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	179.998	5.42202	-	-	-	-	G
C57318287      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	149.998	1.842	-	-	-	-	O
C57318287      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000914471	63.7893	-	-	-	-	G
C57318287      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-153.007	8.78518	-	-	-	-	G
C57318287      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	179.997	11.1654	-	-	-	-	G
C57318287      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0044	3.99483	-	-	-	-	G
C57318287      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	119.995	1.25443	-	-	-	-	O
C57318287      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	30.0035	0.0796663	-	-	-	-	R
C57318287      none	B	[a:1][a:2]!@[CX3:3]=[O:4]	150.298	2.43757	-	-	-	-	G
C39997752      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-0.00870832	11.7616	-	-	-	-	G
C39997752      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-90.0039	1.59557	-	-	-	-	G
C39997752      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	120.537	2.16942	-	-	-	-	G
C39997752      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	60.0005	0.650722	-	-	-	-	O
C39997752      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	30.3253	1.49735	-	-	-	-	O
C39997841      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
C39997841      none	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	90.336	4.03889	-	-	-	-	G
C39997841      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-119.997	1.40635	-	-	-	-	O
C39997841      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	29.999	1.05249	-	-	-	-	G
C39997841      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-89.6918	1.59557	-	-	-	-	G
C39997841      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	0.240261	11.7616	-	-	-	-	G
C39997841      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	120.469	2.16942	-	-	-	-	G
C39997778      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	120.003	2.16942	-	-	-	-	G
C39997778      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	90.002	1.52036	-	-	-	-	G
C39997778      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	0.494235	11.7616	-	-	-	-	G
C39997778      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	60.0093	0.650722	-	-	-	-	O
C39997778      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	30.3423	1.49735	-	-	-	-	O
CHEMBL247111      none	B	[C:1][CH2:2]!@[O:3][CX4:4]	179.997	35.2689	-	-	-	-	G
CHEMBL247111      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	60.0012	4.42842	-	-	-	-	G
CHEMBL247111      none	B	[O:1]=[C:2]([O-])!@[CX4H1:3][H:4]	-0.00330124	0.495663	-	-	-	-	O
CHEMBL247111      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-79.9948	1.71775	-	-	-	-	G
CHEMBL247111      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][$([CX4H1]C(=O)O):4]	89.9977	11.2385	-	-	-	-	G
CHEMBL247111      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	149.998	0.199809	-	-	-	-	O
CHEMBL247111      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-149.999	1.28448	-	-	-	-	O
CHEMBL247111      none	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	120.001	6.41221	-	-	-	-	G
CHEMBL247111      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	159.996	2.96592	-	-	-	-	G
CHEMBL247111      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	160	2.96592	-	-	-	-	G
CHEMBL247111      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-20.0043	3.14121	-	-	-	-	G
CHEMBL247111      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-19.9967	3.14121	-	-	-	-	G
CHEMBL247111      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-19.9985	3.14121	-	-	-	-	G
C02543263      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	0.00514537	14.2319	-	-	-	-	G
C02543263      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-0.00729709	73.7697	-	-	-	-	G
C02543263      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-59.9953	3.51406	-	-	-	-	G
C02543263      none	B	[cH0:1][c:2]([cH0])!@[CX3!r:3]=[NX2!r:4]	90.0049	0.632911	-	-	-	-	R
C02543263      none	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	179.997	29.4914	-	-	-	-	G
C02543263      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	180	37.0618	-	-	-	-	G
C02543263      none	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	30.0043	0.200334	-	-	-	-	R
C02543263      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.277	1.9288	-	-	-	-	O
C23265586      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.005	1.75235	-	-	-	-	G
C23265586      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	30.2747	4.04281	-	-	-	-	G
C23265586      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-90.008	7.35439	-	-	-	-	G
C23265586      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00791103	63.7893	-	-	-	-	G
C23265586      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-150.003	3.9285	-	-	-	-	G
C23265586      none	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	-29.9983	11.3505	-	-	-	-	G
C23265586      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	-0.0105433	74.4927	-	-	-	-	G
C23265586      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-29.6939	3.22841	-	-	-	-	G
C23265586      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	0.0018753	11.7616	-	-	-	-	G
C33010638      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-29.9998	2.33993	-	-	-	-	G
