MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C03664500      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	44.9977	1.59785	-	-	-	-	O
C03664500      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	80.0048	6.41197	-	-	-	-	G
C03664500      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	59.999	2.01135	-	-	-	-	G
C03664500      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-119.995	1.40635	-	-	-	-	O
C03664500      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	150.286	2.10453	-	-	-	-	G
C03664500      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.262442	12.6374	-	-	-	-	G
C15860686      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-179.721	26.896	-	-	-	-	G
C15860686      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-149.746	5.07451	-	-	-	-	G
C15860686      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00148011	63.7893	-	-	-	-	G
C15860686      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	30.2932	4.93827	-	-	-	-	O
C15860686      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][*R:4]	-90.0305	3.82653	-	-	-	-	G
C15860686      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-29.9967	0.51573	-	-	-	-	O
C15860686      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-80.0004	6.01214	-	-	-	-	G
C15860686      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-90.0062	7.87941	-	-	-	-	G
C15860686      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	90.0027	4.22023	-	-	-	-	G
C16449907      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	180	6.20075	-	-	-	-	G
C16449907      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-150.002	1.12166	-	-	-	-	R
C16449907      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	149.725	0.618227	-	-	-	-	R
C16449907      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-59.9928	3.49737	-	-	-	-	G
C16449907      none	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	150.003	0.195029	-	-	-	-	O
C16449907      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	120.282	1.45599	-	-	-	-	O
