MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C14546619      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	89.977	0.274725	-	-	-	-	O
C14546619      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-86.293	3.91099	-	-	-	-	G
CHEMBL559581      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	119.997	3.12238	-	-	-	-	G
CHEMBL559581      none	B	[C:1][CX4:2]!@[NX3:3][C:4]	-89.9982	4.74684	-	-	-	-	G
CHEMBL559581      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	-90.0039	8.15111	-	-	-	-	G
CHEMBL559581      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-0.00477172	14.0646	-	-	-	-	G
CHEMBL559581      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	180	6.20075	-	-	-	-	G
C01287965      none	B	[a:1][c:2]!@[CX4H2:3][CX3:4]	-149.97	0.689061	-	-	-	-	R
C01287965      none	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	59.996	1.9943	-	-	-	-	G
C01287965      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00336003	63.7893	-	-	-	-	G
C01287965      none	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	150.31	1.2148	-	-	-	-	G
C01287965      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	150.27	3.7643	-	-	-	-	G
C67321777      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	-150.031	2.55738	-	-	-	-	O
C67321777      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-149.997	1.91104	-	-	-	-	O
C67321777      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-179.728	2.29759	-	-	-	-	O
C05171917      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	91.8442	4.45044	-	-	-	-	G
C59679535      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-119.996	1.40635	-	-	-	-	O
C59679535      none	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	150.308	2.32505	-	-	-	-	O
C59679535      none	B	[cH1:1][a:2]([cH1])!@[a:3]([cH1])[cH0:4]	-89.7259	0.621581	-	-	-	-	R
C37197027      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	160	3.7196	-	-	-	-	O
C37197027      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	150.006	1.87295	-	-	-	-	O
C37197027      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-89.7389	7.87941	-	-	-	-	G
C37131249      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-89.9975	3.22537	-	-	-	-	G
C37131249      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	120.003	0	-	-	-	-	R
C37131249      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.976	23.2156	-	-	-	-	G
CHEMBL551885      none	B	[C:1][CX4:2]!@[NX3:3][C:4]	30.0006	0.196556	-	-	-	-	R
CHEMBL551885      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	-89.9983	8.15111	-	-	-	-	G
CHEMBL551885      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	150.001	1.28652	-	-	-	-	O
CHEMBL551885      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	179.994	6.20075	-	-	-	-	G
C36971081      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	90.0039	7.74238	-	-	-	-	G
C36971081      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	149.994	1.87295	-	-	-	-	O
C36971081      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	159.997	3.7196	-	-	-	-	O
C36971081      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.98	23.2156	-	-	-	-	G
C14776733      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	119.974	0.35639	-	-	-	-	R
C14776733      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-90.0023	0.86334	-	-	-	-	G
C14776733      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	90.0026	0.432135	-	-	-	-	O
C14776733      none	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	150.015	0	-	-	-	-	R
C14776733      none	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-60.0061	3.51406	-	-	-	-	G
C14478751      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	87.5503	4.45044	-	-	-	-	G
C20545260      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-120.002	3.08052	-	-	-	-	G
C20545260      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	120.001	4.42569	-	-	-	-	O
C20545260      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	150.001	1.00143	-	-	-	-	O
C04597407      none	B	[cH1:1][c:2]([cH0])!@[NX3:3][a:4]	-29.7558	5.36829	-	-	-	-	G
C04597407      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-59.6916	1.73028	-	-	-	-	O
C04597407      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-60.0024	0.590378	-	-	-	-	O
C00356487      none	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	0.0152495	12.6374	-	-	-	-	G
C00356487      none	B	[cH1:1][c:2]([cH0])!@[CX3x0:3]=[NX2:4]	59.9697	0.212691	-	-	-	-	G
C00356487      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	120.278	1.45599	-	-	-	-	O
C59117284      none	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-89.9978	1.59557	-	-	-	-	G
C59117284      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	150	1.21045	-	-	-	-	G
C59117284      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00269069	63.7893	-	-	-	-	G
C59117284      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]Cl)[cH:4]	-89.7174	0	-	-	-	-	R
C13645698      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	87.5331	4.45044	-	-	-	-	G
CHEMBL480178      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	59.9983	4.89486	-	-	-	-	G
CHEMBL25261      none	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-149.726	7.41023	-	-	-	-	G
C40242059      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	-90.002	14.1718	-	-	-	-	G
C40242059      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	-119.989	2.61531	-	-	-	-	G
C40242059      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	149.996	3.7643	-	-	-	-	G
