MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL410646      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-40	0.976141	-	-	-	-	G
CHEMBL410646      none	B	[a:1][c:2]!@[CX4H0:3][a:4]	119.99	3.34837	-	-	-	-	G
CHEMBL410646      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	60.0056	3.54922	-	-	-	-	G
CHEMBL410646      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	89.9998	11.713	-	-	-	-	G
CHEMBL410646      none	B	[a:1][c:2]!@[CX4H0:3][*:4]	180	4.53108	-	-	-	-	G
CHEMBL410646      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	159.997	2.78349	-	-	-	-	G
CHEMBL369943      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	30.0034	0.225606	-	-	-	-	R
CHEMBL369943      none	B	[c:1][$(S(=O)=O):2]!@[NX3H0:3][C:4]	89.9956	4.81691	-	-	-	-	G
CHEMBL369943      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-89.9941	8.83621	-	-	-	-	G
CHEMBL369943      none	B	[$(S(=O)(=O)):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-120.001	6.46552	-	-	-	-	O
CHEMBL369943      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7292	7.30446	-	-	-	-	G
CHEMBL369943      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	149.999	1.9028	-	-	-	-	G
CHEMBL369943      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7323	7.30446	-	-	-	-	G
CHEMBL369943      none	B	[a:1][c:2]!@[CX4H0:3][*:4]	0.00315495	4.08823	-	-	-	-	G
CHEMBL369943      none	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	160.002	2.78349	-	-	-	-	G
CHEMBL416145      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	19.9983	2.80466	-	-	-	-	G
CHEMBL416145      none	B	[CX3:1]=[CX3:2]!@[CH2:3][C:4]	119.999	8.89643	-	-	-	-	G
CHEMBL416145      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	80.0016	1.75235	-	-	-	-	G
CHEMBL416145      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	39.9949	0.998355	-	-	-	-	G
CHEMBL416145      none	B	[a:1][c:2]!@[CX4H0:3][a:4]	-150.006	2.20813	-	-	-	-	G
CHEMBL416145      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-60.0002	3.65221	-	-	-	-	G
