MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C40376556      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	60.0064	1.24025	-	-	-	-	O
C40376556      none	B	[a:1][a:2]!@[NH1:3][C,c:4]	-119.697	1.16069	-	-	-	-	O
C40376556      none	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	90.0022	10.5615	-	-	-	-	G
C40376556      none	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	120.003	1.4245	-	-	-	-	O
C40376556      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00116446	63.7893	-	-	-	-	G
C40376556      none	B	[$(C=O):1][NX3:2]!@[$([a]([cH1])):3][$([aH0](!@O)):4]	150.006	3.41463	-	-	-	-	G
C40376556      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.975	23.2156	-	-	-	-	G
C40376556      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	180	48.7454	-	-	-	-	G
C40376564      none	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	29.9966	3.96079	-	-	-	-	G
C40376564      none	B	[a:1][a:2]!@[NH1:3][C,c:4]	-179.68	11.4083	-	-	-	-	G
C40376564      none	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	-90.0445	9.62567	-	-	-	-	G
C40376564      none	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	-60.002	1.56695	-	-	-	-	G
C40376564      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.011768	63.7893	-	-	-	-	G
C40376564      none	B	[$(C=O):1][NX3:2]!@[$([a]([cH1])):3][$([aH0](!@O)):4]	149.999	3.41463	-	-	-	-	G
C40376564      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.983	23.2156	-	-	-	-	G
C40376564      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-90.0001	0.64732	-	-	-	-	R
C59794172      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])	120.308	0.939981	-	-	-	-	O
C59794172      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	29.9886	0.412584	-	-	-	-	O
