MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C39638740      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	179.998	43.8829	-	-	-	-	G
C39638740      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-120.282	0.327297	-	-	-	-	R
C39638740      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-45.0104	1.84995	-	-	-	-	G
C39638740      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	-89.9989	7.86473	-	-	-	-	G
C39638740      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00332777	63.7893	-	-	-	-	G
C39638740      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-27.6997	3.42621	-	-	-	-	G
C39638740      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-0.0068979	23.6549	-	-	-	-	G
C39638740      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	60.3109	3.02778	-	-	-	-	G
C39638740      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-29.4369	2.72579	-	-	-	-	G
C39596457      none	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	59.9999	15.2809	-	-	-	-	G
C39596457      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	60.0017	2.10701	-	-	-	-	G
C39596457      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-150.001	1.7769	-	-	-	-	O
C39596457      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00238134	63.7893	-	-	-	-	G
C39596457      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-57.7411	2.40592	-	-	-	-	G
C39596457      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-0.00322172	23.6549	-	-	-	-	G
C39596457      none	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	0.294934	2.33333	-	-	-	-	G
C39596457      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-29.4432	2.72579	-	-	-	-	G
C39596457      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-59.9995	0.582524	-	-	-	-	R
C39777061      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-57.311	12.2558	-	-	-	-	G
C39777061      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.995	15.0612	-	-	-	-	G
C39777061      none	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	-90.1004	1.24247	-	-	-	-	O
C39777061      none	B	[CH0:1][NX3:2]([CH1])!@[c:3][a:4]	-59.7895	1.90174	-	-	-	-	O
C39777061      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-60.0039	7.13757	-	-	-	-	G
C39777061      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.7201	7.30446	-	-	-	-	G
C23990067      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	150.283	2.6253	-	-	-	-	G
C23990067      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-29.7282	5.05437	-	-	-	-	G
C23990067      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00789132	63.7893	-	-	-	-	G
C23990067      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-0.0043435	9.82143	-	-	-	-	G
C23990067      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-160.003	2.15596	-	-	-	-	G
C23990067      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-159.998	2.15596	-	-	-	-	G
C23990067      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	90.279	7.24386	-	-	-	-	G
C37379707      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-59.9994	3.71511	-	-	-	-	G
C37379707      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9936	12.3771	-	-	-	-	G
C37379707      none	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	-60.3102	3.47123	-	-	-	-	G
C37379707      none	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	60.011	6.84932	-	-	-	-	G
C37379707      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0113224	63.7893	-	-	-	-	G
C37379707      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	179.998	6.46594	-	-	-	-	G
C37379707      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0062	3.99483	-	-	-	-	G
C37379707      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	83.614	2.21713	-	-	-	-	O
