MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL51927      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH0])[cH0:4]	-90.0145	0	-	-	-	-	G
CHEMBL51927      none	B	[cH0:1][c:2]([nX2])!@[O:3][C:4]	120	0.573066	-	-	-	-	R
CHEMBL51927      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	149.998	1.03538	-	-	-	-	R
CHEMBL51927      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-134.725	2.0362	-	-	-	-	O
CHEMBL51927      none	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-89.7227	0	-	-	-	-	R
CHEMBL290674      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH0])[cH0:4]	-90.0183	0	-	-	-	-	G
CHEMBL290674      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-59.493	1.82507	-	-	-	-	G
CHEMBL290674      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	0.00839341	4.04784	-	-	-	-	G
CHEMBL290674      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-89.7363	3.72585	-	-	-	-	G
CHEMBL41799      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH0])[cH0:4]	-90.0294	0	-	-	-	-	G
CHEMBL41799      none	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-59.426	1.82507	-	-	-	-	G
CHEMBL41799      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	60.021	0.665746	-	-	-	-	R
CHEMBL288381      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH0])[cH0:4]	-90.0177	0	-	-	-	-	G
CHEMBL288381      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-60.0067	0.590378	-	-	-	-	O
CHEMBL288381      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	60.5276	0.665746	-	-	-	-	R
CHEMBL36981      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.994	58.554	-	-	-	-	G
