MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C38802862      none	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	-120	6.46388	-	-	-	-	G
C38802862      none	B	[C:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	90.0013	2.63158	-	-	-	-	G
C38802862      none	B	[!#1:1][CX3:2]!@[SX4:3][!#1:4]	-89.7232	6.25	-	-	-	-	G
CHEMBL484967      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-59.998	6.50249	-	-	-	-	G
CHEMBL484967      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-89.9961	7.30446	-	-	-	-	G
CHEMBL484967      none	B	[cH1,n:1][c:2]!@[O:3][CRH1:4]	60.2607	0.203252	-	-	-	-	R
CHEMBL484967      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-30.2928	9.1924	-	-	-	-	G
C39688122      none	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	-59.9972	9.09091	-	-	-	-	G
C39688122      none	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-179.683	9.67842	-	-	-	-	G
C39688122      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-27.7075	3.42621	-	-	-	-	G
C39688122      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0068608	63.7893	-	-	-	-	G
C39688122      none	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-60.007	1.43139	-	-	-	-	G
C39688122      none	B	[OX2:1][CX4H2:2]!@[CX4H2:3][N:4]	-60.0021	16.5981	-	-	-	-	G
C39688122      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-119.995	0.315856	-	-	-	-	R
