MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL60037      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-0.00431586	0.923965	-	-	-	-	G
CHEMBL60037      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	0.00457764	13.6236	-	-	-	-	G
CHEMBL60037      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	0.00328105	20.0453	-	-	-	-	G
CHEMBL64222      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	-0.00706609	0.923965	-	-	-	-	G
CHEMBL64222      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	0.00420271	13.6236	-	-	-	-	G
CHEMBL64222      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-0.00120156	20.0453	-	-	-	-	G
C00840937      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-59.9914	3.48172	-	-	-	-	G
C00840937      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.985	23.2156	-	-	-	-	G
CHEMBL62880      none	B	[a:1][c:2]!@[CX4H1:3][a:4]	0.0016695	0.923965	-	-	-	-	G
CHEMBL62880      none	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-30.0013	2.14556	-	-	-	-	G
CHEMBL62880      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	0.00306408	20.0453	-	-	-	-	G
CHEMBL1221641      none	B	[!#1:1][CX4H2:2]!@[NX3:3][!#1:4]	-59.9977	3.24422	-	-	-	-	G
CHEMBL1221641      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	150.284	1.28652	-	-	-	-	O
CHEMBL1221641      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-59.7287	1.73028	-	-	-	-	O
CHEMBL1221641      none	B	[O:1]=[C:2]([O-])!@[c:3]([cH1])[cH1:4]	179.978	7.35294	-	-	-	-	G
C04906748      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-90.0006	7.44849	-	-	-	-	G
C04906748      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-89.9909	1.65296	-	-	-	-	O
C04906748      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-149.73	4.2357	-	-	-	-	G
C04906748      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	90.2794	4.86842	-	-	-	-	G
C66161685      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-89.9705	11.9355	-	-	-	-	G
C66161685      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9998	3.99483	-	-	-	-	G
C66161685      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	180	43.8829	-	-	-	-	G
C66161685      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.27062	26.3009	-	-	-	-	G
C66161685      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	45.0013	2.0463	-	-	-	-	O
C66161685      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	90.002	6.33327	-	-	-	-	G
C66161685      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	160.265	2.99518	-	-	-	-	G
C66161683      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-149.976	0.411568	-	-	-	-	R
C66161683      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0054	3.99483	-	-	-	-	G
C66161683      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	89.9995	1.05285	-	-	-	-	G
C66161683      none	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-120.273	0.327297	-	-	-	-	R
C66161683      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	134.995	0.685166	-	-	-	-	G
C66161683      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	180	11.3535	-	-	-	-	G
