MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL171369      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-0.000973266	3.06862	-	-	-	-	G
CHEMBL281476      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	119.999	3.12393	-	-	-	-	G
CHEMBL281476      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-30.0135	2.69102	-	-	-	-	G
CHEMBL281476      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	29.9901	7.15021	-	-	-	-	G
CHEMBL281476      none	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	-59.9998	5.14933	-	-	-	-	G
CHEMBL281476      none	B	[OX2:1][CX4:2]!@[CX4:3][OX2:4]	-80.0087	2.4811	-	-	-	-	G
CHEMBL281476      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-59.9922	0.530348	-	-	-	-	O
CHEMBL171700      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	0.00552593	3.06862	-	-	-	-	G
CHEMBL284846      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-125.163	2.14174	-	-	-	-	G
CHEMBL284846      none	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	0.00211095	15.4198	-	-	-	-	G
CHEMBL297437      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	0.00124412	3.06862	-	-	-	-	G
C39098275      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-0.00781759	1.53503	-	-	-	-	G
C39098275      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	180	0.462637	-	-	-	-	R
C39098275      none	B	[*:1]~[OX2:2]!@[SX3:3]~[*:4]	-160.008	5.12821	-	-	-	-	G
CHEMBL159059      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-123.006	3.09532	-	-	-	-	G
CHEMBL159059      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-59.9975	12.2558	-	-	-	-	G
CHEMBL8275      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-128.168	2.14174	-	-	-	-	G
C61844727      none	B	[$([cH0](=O)):1][c:2]([cH1])!@[CX3:3]([NX3H1,NX3H2])=[O:4]	59.9716	0	-	-	-	-	R
C61844727      none	B	[O:1]=[C:2](c)!@[$([NX3](c([nX2H0])([nX2H0]))):3][H:4]	180	26.6667	-	-	-	-	G
C61844727      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	0.00256202	4.11379	-	-	-	-	G
CHEMBL30511      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	0.00445443	3.06862	-	-	-	-	G
CHEMBL30511      none	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	30.0084	0.610687	-	-	-	-	O
CHEMBL45769      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-0.00716412	3.06862	-	-	-	-	G
C39296267      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	0.0049893	74.4927	-	-	-	-	G
C39296267      none	B	[$([cH0]!@[*^2]):1][c:2]([cH1])!@[CX3:3]=[O:4]	179.996	12.7363	-	-	-	-	G
C39296267      none	B	[aH0:1][c:2]([aH1])!@[SX4:3][!#1:4]	-0.00020402	0.1321	-	-	-	-	R
CHEMBL31577      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	171.423	2.34771	-	-	-	-	G
CHEMBL31577      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-59.9953	12.2558	-	-	-	-	G
C00153719      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-19.9984	3.00858	-	-	-	-	G
C00153719      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	89.9992	6.33327	-	-	-	-	G
C00153719      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	-59.9996	0.14881	-	-	-	-	O
C00153719      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.014101	63.7893	-	-	-	-	G
CHEMBL77965      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	29.9995	3.02094	-	-	-	-	G
CHEMBL77965      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-150	1.18876	-	-	-	-	G
C45597150      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	149.965	0.155642	-	-	-	-	R
C45597150      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-149.998	1.30312	-	-	-	-	G
C45597150      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-80.0017	1.71775	-	-	-	-	G
C45597150      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	120.008	0.766617	-	-	-	-	G
C44588044      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	60.0081	1.72297	-	-	-	-	O
C44588044      none	B	[nX2H0:1][c:2]!@[C:3](=[N:4])(-[NH1,NH2])	-30.0073	0.943396	-	-	-	-	G
CHEMBL49737      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	135.001	0.318742	-	-	-	-	R
CHEMBL49737      none	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	179.997	0.97561	-	-	-	-	R
CHEMBL49737      none	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	-120.004	9.31298	-	-	-	-	G
CHEMBL605446      none	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	153.282	3.15253	-	-	-	-	G
CHEMBL605446      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-141.806	2.67138	-	-	-	-	G
CHEMBL416457      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	135.001	0.318742	-	-	-	-	R
