MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
C07674891      none	B	[cH0:1][c:2]([cH0])!@[CX3!r:3]=[NX2!r:4]	120.001	0.632911	-	-	-	-	O
C07674891      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	30.5382	4.34028	-	-	-	-	G
C07674891      none	B	[*:1]~[NX2:2]!@[nX3:3]~[*:4]	-119.693	2.53906	-	-	-	-	G
C07674891      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	30.256	2.54993	-	-	-	-	G
C13296453      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-90.0068	3.45082	-	-	-	-	G
C13296453      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-159.998	3.18377	-	-	-	-	G
C13296453      none	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-89.7204	0.0739844	-	-	-	-	R
C13296453      none	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	0.0521569	15.7822	-	-	-	-	G
C13296453      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	150.005	0.567303	-	-	-	-	O
C13296453      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-149.724	3.97727	-	-	-	-	G
CHEMBL571452      none	B	[nH0r6:1][cr6:2]([nH0r6])!@[cr6:3]([cH1r6])[nH0r6:4]	30.5242	3.92157	-	-	-	-	O
CHEMBL571452      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-150.003	1.91104	-	-	-	-	O
CHEMBL571452      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-179.71	11.4213	-	-	-	-	G
C64712237      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]Cl)[cH:4]	30.0031	4.71698	-	-	-	-	G
C64712237      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0072572	63.7893	-	-	-	-	G
C64712237      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	0.00391351	19.1789	-	-	-	-	G
C64712237      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-90.0012	3.00607	-	-	-	-	G
C64712237      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-89.999	3.32646	-	-	-	-	G
C64712237      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	1.23348	25.7136	-	-	-	-	G
CHEMBL564250      none	B	[nH0r6:1][cr6:2]([nH0r6])!@[cr6:3]([cH1r6])[nH0r6:4]	-149.498	3.92157	-	-	-	-	O
CHEMBL564250      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	30.0027	1.9288	-	-	-	-	O
CHEMBL564250      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-179.718	2.29759	-	-	-	-	O
CHEMBL238125      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	30.2479	1.44262	-	-	-	-	O
CHEMBL238125      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-150.005	1.91104	-	-	-	-	O
CHEMBL238125      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-149.722	4.2357	-	-	-	-	G
C39550481      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-120.306	5.11817	-	-	-	-	G
C39550481      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	30.2703	2.54993	-	-	-	-	G
C39550481      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-149.705	1.86258	-	-	-	-	G
C39550481      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	179.973	23.2156	-	-	-	-	G
C20867615      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.6876	15.4696	-	-	-	-	G
C20867615      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-159.998	2.54422	-	-	-	-	G
C20867615      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	180	11.3535	-	-	-	-	G
C20867615      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	180	6.20075	-	-	-	-	G
C20867615      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	30.2415	2.66597	-	-	-	-	O
C20867615      none	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-29.9937	2.72579	-	-	-	-	G
CHEMBL204211      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-119.706	5.11817	-	-	-	-	G
CHEMBL204211      none	B	[c:1][c:2]!@[c:3][$(c!@c):4]	30.2725	1.51823	-	-	-	-	G
CHEMBL204211      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-179.725	7.79121	-	-	-	-	G
CHEMBL204211      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	89.9654	7.24386	-	-	-	-	G
CHEMBL204211      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
CHEMBL204211      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-160.724	2.15596	-	-	-	-	G
C60380662      none	B	[$([cH0](Cl)):1][c:2]([cH1])!@[CX3:3](O)=[O:4]	-60.0074	0	-	-	-	-	R
C60380662      none	B	[O:1]=[C:2]!@[O:3]~[C:4]	30.0112	0.0796663	-	-	-	-	R
C60380662      none	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	-90.0076	4.43359	-	-	-	-	G
C60380662      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-29.9975	2.69102	-	-	-	-	G
C60380662      none	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	-0.29578	15.7822	-	-	-	-	G
C60380662      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	90.0044	12.916	-	-	-	-	G
C07628552      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	0.00559981	6.54616	-	-	-	-	G
C07628552      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	79.998	6.41197	-	-	-	-	G
C07628552      none	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-179.845	23.2156	-	-	-	-	G
C07628552      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	29.9991	1.8677	-	-	-	-	O
C07628552      none	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	60.2686	2.4918	-	-	-	-	G
CHEMBL571451      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	150.005	1.85775	-	-	-	-	O
CHEMBL571451      none	B	[nH0r6:1][cr6:2]([nH0r6])!@[cr6:3]([cH1r6])[cH1r6:4]	-119.996	0.352113	-	-	-	-	R
CHEMBL571451      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-119.71	2.53204	-	-	-	-	G
C42023829      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	29.9894	1.15477	-	-	-	-	G
C42023829      none	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-29.9893	1.21216	-	-	-	-	G
C42023829      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00934621	63.7893	-	-	-	-	G
C42023829      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-149.999	1.98526	-	-	-	-	O
C42023829      none	B	[aH1:1][c:2]([aH0])!@[SX2:3][!#1:4]	-59.7555	1.08949	-	-	-	-	O
C42023829      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	179.998	11.1654	-	-	-	-	G
C42023829      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	89.9971	1.06654	-	-	-	-	G
CHEMBL556871      none	B	[nH0r6:1][cr6:2]([nH0r6])!@[cr6:3]([cH1r6])[nH0r6:4]	30.53	3.92157	-	-	-	-	O
CHEMBL556871      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	-150	1.91104	-	-	-	-	O
CHEMBL556871      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-149.713	4.2357	-	-	-	-	G
C22701443      none	B	[cH0:1][c:2]([cH0])!@[CX3!r:3]=[NX2!r:4]	119.997	0.632911	-	-	-	-	O
C22701443      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	30.5518	4.34028	-	-	-	-	G
C22701443      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	90.3275	1.96062	-	-	-	-	O
C22701443      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.9979	1.62815	-	-	-	-	O
C22701443      none	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-156.355	6.28481	-	-	-	-	G
C36006198      none	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	-59.9811	0.568182	-	-	-	-	R
C36006198      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-149.728	3.97727	-	-	-	-	G
