MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL250513      none	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	-90.0105	8.29232	-	-	-	-	G
CHEMBL250513      none	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	-89.9951	8.29232	-	-	-	-	G
CHEMBL250513      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	59.9936	1.23291	-	-	-	-	O
CHEMBL250513      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-45	1.96752	-	-	-	-	O
CHEMBL250513      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-150	1.12166	-	-	-	-	R
CHEMBL250513      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	90.2863	14.2516	-	-	-	-	G
CHEMBL250513      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	150.02	0.322581	-	-	-	-	R
CHEMBL250513      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL250513      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-90.0001	1.15875	-	-	-	-	O
CHEMBL594024      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-90.0034	5.18797	-	-	-	-	G
CHEMBL594024      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-90.2807	7.44849	-	-	-	-	G
CHEMBL594024      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-135.004	2.11592	-	-	-	-	G
CHEMBL594024      none	B	[cH0:1][c:2]([cH0])!@[O:3][c:4]	60.2808	4.53172	-	-	-	-	G
CHEMBL594024      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-149.998	3.97727	-	-	-	-	G
CHEMBL250308      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-90.0035	6.4105	-	-	-	-	G
CHEMBL250308      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	0.279536	14.0646	-	-	-	-	G
CHEMBL250308      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.9874	1.62815	-	-	-	-	O
CHEMBL250308      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-150.006	1.12166	-	-	-	-	R
CHEMBL250308      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	90.2749	14.2516	-	-	-	-	G
CHEMBL250308      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	150.022	0.322581	-	-	-	-	R
CHEMBL250308      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.995	58.554	-	-	-	-	G
CHEMBL250308      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-120.007	0.79457	-	-	-	-	O
CHEMBL250104      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-44.9955	1.62815	-	-	-	-	O
CHEMBL250104      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-150.002	1.12166	-	-	-	-	R
CHEMBL250104      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	90.2759	14.2516	-	-	-	-	G
CHEMBL250104      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-29.9827	0.300334	-	-	-	-	R
CHEMBL250104      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL250104      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-120.006	0.79457	-	-	-	-	O
CHEMBL594025      none	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-150.002	3.97727	-	-	-	-	G
CHEMBL594025      none	B	[cH0:1][c:2]([cH0])!@[O:3][c:4]	60.0097	4.53172	-	-	-	-	G
CHEMBL594025      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	45.266	2.02392	-	-	-	-	G
CHEMBL594025      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-90.2994	7.44849	-	-	-	-	G
CHEMBL594025      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	-89.7183	5.18797	-	-	-	-	G
CHEMBL250880      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	119.728	7.01281	-	-	-	-	G
CHEMBL250880      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-135.005	2.11592	-	-	-	-	G
CHEMBL250880      none	B	[cH0:1][c:2]([cH0])!@[O:3][c:4]	90.2726	7.85498	-	-	-	-	G
CHEMBL250880      none	B	[O:1]=[C:2]([O-])!@[c:3][nX3H1:4]	179.994	34.7826	-	-	-	-	G
CHEMBL107400      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	0.00317309	26.3009	-	-	-	-	G
CHEMBL107400      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-105.005	3.16957	-	-	-	-	G
CHEMBL107400      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	45.2696	2.21805	-	-	-	-	O
CHEMBL107400      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-60.0498	1.48348	-	-	-	-	G
CHEMBL107400      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	179.999	43.8829	-	-	-	-	G
CHEMBL107400      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-89.9961	0.491063	-	-	-	-	O
CHEMBL192427      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-29.9793	0.300334	-	-	-	-	R
CHEMBL192427      none	B	[cH0:1][c:2]([cH0])!@[O:3][C:4]	90.0025	14.2516	-	-	-	-	G
CHEMBL192427      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-119.999	0.315856	-	-	-	-	R
CHEMBL192427      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-60.0078	12.2558	-	-	-	-	G
CHEMBL192427      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL192427      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	120	0.695249	-	-	-	-	O
CHEMBL322361      none	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-29.9802	0.300334	-	-	-	-	R
CHEMBL322361      none	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-104.999	5.86371	-	-	-	-	G
CHEMBL322361      none	B	[a:1][c:2]!@[CX4H2:3][a:4]	45.2713	2.21805	-	-	-	-	O
CHEMBL322361      none	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	119.948	7.01281	-	-	-	-	G
CHEMBL322361      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL322361      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	119.998	0.695249	-	-	-	-	O
C39364868      none	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-30.0078	3.61778	-	-	-	-	G
C39364868      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	59.9734	0.402739	-	-	-	-	R
C39364868      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000582766	63.7893	-	-	-	-	G
C39364868      none	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	-149.69	5.2923	-	-	-	-	O
CHEMBL251439      none	B	[cH0:1][c:2]([cH0])!@[O:3][c:4]	90.0025	7.85498	-	-	-	-	G
CHEMBL251439      none	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	45.2794	2.02392	-	-	-	-	G
