MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL423282      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-90.0033	3.32646	-	-	-	-	G
CHEMBL423282      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	89.9979	4.22023	-	-	-	-	G
CHEMBL423282      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-90.0626	12.5987	-	-	-	-	G
CHEMBL423282      none	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-89.7288	12.5987	-	-	-	-	G
C39976371      none	B	[a:1][c:2]!@[CX4H1:3][H:4]	120.004	1.00725	-	-	-	-	G
C39976371      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	29.9956	0.264964	-	-	-	-	O
C39976371      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	59.9984	0.147399	-	-	-	-	G
C39976371      none	B	[!#1:1][CX4:2]!@[CX3H0:3][!#1:4]	-119.993	1.6873	-	-	-	-	O
C39976371      none	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	0.298193	14.1132	-	-	-	-	G
C08907544      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-179.724	26.896	-	-	-	-	G
C08907544      none	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-29.7359	1.1203	-	-	-	-	G
C08907544      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-85.354	3.45082	-	-	-	-	G
C08907544      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00587115	63.7893	-	-	-	-	G
C08907544      none	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	179.998	66.092	-	-	-	-	G
C08907544      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-30.0073	0.51573	-	-	-	-	O
C08907544      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	60.002	7.53739	-	-	-	-	G
C08907544      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	59.9981	1.20812	-	-	-	-	G
C08907544      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00575812	63.7893	-	-	-	-	G
C08907544      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH0]F)[cH:4]	30.275	10.5263	-	-	-	-	O
CHEMBL495124      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-90.0009	3.32646	-	-	-	-	G
CHEMBL495124      none	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-90.0054	4.47177	-	-	-	-	G
C01340069      none	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	90.0025	3.35653	-	-	-	-	G
C01340069      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00654865	63.7893	-	-	-	-	G
C01340069      none	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-150.002	0.689004	-	-	-	-	O
C01340069      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-89.9983	3.00607	-	-	-	-	G
C01340069      none	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	30.0043	0.412584	-	-	-	-	O
C01340069      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	0.002348	2.24426	-	-	-	-	O
C01340069      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	179.999	11.3535	-	-	-	-	G
C01340069      none	B	[a:1][a:2]!@[NX3:3][!#1:4]	0.331109	10.9271	-	-	-	-	G
C01340069      none	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-149.72	1.79995	-	-	-	-	O
C20424760      none	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-179.777	26.896	-	-	-	-	G
C20424760      none	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-135.005	1.61199	-	-	-	-	O
C20424760      none	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-150.002	1.12166	-	-	-	-	R
C20424760      none	B	[aH0:1][c:2]!@[OX2:3][!#1:4]	-0.301343	2.68047	-	-	-	-	G
