MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL519238      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	60.0013	6.39181	-	-	-	-	G
CHEMBL519238      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.002	15.4696	-	-	-	-	G
CHEMBL519238      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0008	3.99483	-	-	-	-	G
CHEMBL519238      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.994	58.554	-	-	-	-	G
CHEMBL519238      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	0.324487	0.0996016	-	-	-	-	R
CHEMBL452078      none	B	[CX4:1][CX4H2:2]!@[NX3;"N_lp":3][CX4:4]	-60.0015	4.98492	-	-	-	-	G
CHEMBL452078      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9998	3.77933	-	-	-	-	G
CHEMBL452078      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL452078      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	90.3077	14.7896	-	-	-	-	G
CHEMBL452078      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	60.2428	1.61565	-	-	-	-	O
CHEMBL486728      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	59.9953	1.61565	-	-	-	-	O
CHEMBL486728      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9946	15.4696	-	-	-	-	G
CHEMBL486728      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL486728      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	29.9943	4.22116	-	-	-	-	G
CHEMBL486728      none	B	[O:1]=[CX3:2]!@[nX3:3][aH1:4]	-179.684	26.1084	-	-	-	-	G
CHEMBL486101      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	59.9947	1.61565	-	-	-	-	O
CHEMBL486101      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9981	15.4696	-	-	-	-	G
CHEMBL486101      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL486101      none	B	[N:1][C:2](=O)!@[CX4H2:3][CX4H2:4]	179.997	15.2589	-	-	-	-	G
CHEMBL486101      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-149.714	1.37927	-	-	-	-	O
CHEMBL520537      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	60.0002	9.40325	-	-	-	-	G
CHEMBL520537      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9993	15.4696	-	-	-	-	G
CHEMBL520537      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL520537      none	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	29.9965	4.22116	-	-	-	-	G
CHEMBL520537      none	B	[O:1]=[CX3:2]!@[nX3:3][aH1:4]	-179.671	26.1084	-	-	-	-	G
C28109023      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	120.006	0.41354	-	-	-	-	G
C28109023      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-159.626	2.15596	-	-	-	-	G
C28109023      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00742087	63.7893	-	-	-	-	G
C28109023      none	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-119.997	0.302054	-	-	-	-	R
C28109023      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-29.998	6.97413	-	-	-	-	G
C28109023      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00263475	63.7893	-	-	-	-	G
C28109023      none	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	152.998	9.05971	-	-	-	-	G
C39678375      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0009	12.3771	-	-	-	-	G
C39678375      none	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-0.0037866	13.789	-	-	-	-	G
C39678375      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-30.013	9.1924	-	-	-	-	G
C39678375      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-149.705	1.37927	-	-	-	-	O
C39678375      none	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	25.4888	3.28614	-	-	-	-	G
C39678375      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00109485	63.7893	-	-	-	-	G
C39678375      none	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	-149.998	1.65159	-	-	-	-	G
C39678375      none	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-90.0041	7.87941	-	-	-	-	G
C39678375      none	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H0:3][CX4:4]	90.2745	2.06517	-	-	-	-	O
C39678375      none	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	60.0114	0.194175	-	-	-	-	R
CHEMBL270021      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	59.9954	9.40325	-	-	-	-	G
CHEMBL270021      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	119.982	0.236827	-	-	-	-	R
CHEMBL270021      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.0063	15.4696	-	-	-	-	G
CHEMBL270021      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL270021      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	180	43.8829	-	-	-	-	G
CHEMBL270021      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0031	3.77933	-	-	-	-	G
CHEMBL270021      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL270021      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	161.524	1.9368	-	-	-	-	G
CHEMBL255427      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	59.9737	9.40325	-	-	-	-	G
CHEMBL255427      none	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-30.0042	0.458851	-	-	-	-	O
CHEMBL255427      none	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-150.004	1.28448	-	-	-	-	O
CHEMBL255427      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-59.9948	3.77933	-	-	-	-	G
CHEMBL255427      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	59.9995	3.99483	-	-	-	-	G
CHEMBL255427      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	83.6189	2.21713	-	-	-	-	O
CHEMBL461134      none	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-0.00315555	14.0646	-	-	-	-	G
CHEMBL461134      none	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	180	11.3535	-	-	-	-	G
CHEMBL461134      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	60.0058	3.99483	-	-	-	-	G
CHEMBL461134      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.996	58.554	-	-	-	-	G
CHEMBL461134      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	90.2902	14.7896	-	-	-	-	G
CHEMBL461134      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	60.2582	1.61565	-	-	-	-	O
CHEMBL521200      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	59.9962	9.40325	-	-	-	-	G
CHEMBL521200      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9948	15.4696	-	-	-	-	G
CHEMBL521200      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.997	58.554	-	-	-	-	G
CHEMBL521200      none	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-60.0032	7.13757	-	-	-	-	G
CHEMBL521200      none	B	[*:1]~[N,n:2]!@[S:3]~[*:4]	-59.9969	4.40087	-	-	-	-	G
CHEMBL452829      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	59.9998	1.61565	-	-	-	-	O
CHEMBL452829      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.9988	15.4696	-	-	-	-	G
CHEMBL452829      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL452829      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-60.0041	3.77933	-	-	-	-	G
CHEMBL452829      none	B	[!#1:1][CH2:2]!@[n:3][a:4]	135.321	0.423307	-	-	-	-	O
CHEMBL486828      none	B	[cH0:1][c:2]([cH0])!@[c:3]([cH0:4])[cH1]	59.9957	1.61565	-	-	-	-	O
CHEMBL486828      none	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-90.0022	15.4696	-	-	-	-	G
CHEMBL486828      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	180	58.554	-	-	-	-	G
CHEMBL486828      none	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	179.998	58.554	-	-	-	-	G
CHEMBL486828      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.951	15.0612	-	-	-	-	G
C40122897      none	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	89.9986	0.691754	-	-	-	-	R
C40122897      none	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	-149.998	1.42045	-	-	-	-	G
C40122897      none	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-150.391	2.59662	-	-	-	-	G
C40122897      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-80.0012	2.10499	-	-	-	-	G
C40122897      none	B	N[C:2](=[O:1])!@[CH2:3][N:4]	120.005	0.595238	-	-	-	-	G
C40122897      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00555863	63.7893	-	-	-	-	G
C40122897      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-30.0012	6.97413	-	-	-	-	G
