MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL188510      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-30.0028	5.37503	-	-	-	-	G
CHEMBL188510      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
CHEMBL188510      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00163804	63.7893	-	-	-	-	G
CHEMBL188510      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	0.00103509	8.26772	-	-	-	-	G
CHEMBL188510      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	59.9924	12.3771	-	-	-	-	G
CHEMBL188510      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-29.9959	4.44172	-	-	-	-	G
CHEMBL188510      none	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-179.694	18.2537	-	-	-	-	G
CHEMBL188510      none	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-55.1174	2.37856	-	-	-	-	G
CHEMBL188510      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-28.5609	5.37503	-	-	-	-	G
CHEMBL188510      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00264523	63.7893	-	-	-	-	G
CHEMBL188510      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	31.9967	9.46757	-	-	-	-	G
CHEMBL188510      none	B	[cH1,n:1][c:2]!@[O:3][CRH1:4]	60.0002	0.203252	-	-	-	-	R
CHEMBL365298      none	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-29.991	5.37503	-	-	-	-	G
CHEMBL365298      none	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	180	15.0612	-	-	-	-	G
CHEMBL365298      none	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00354622	63.7893	-	-	-	-	G
CHEMBL365298      none	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-0.000238041	8.26772	-	-	-	-	G
CHEMBL365298      none	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-29.9984	4.44172	-	-	-	-	G
CHEMBL365298      none	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	60.0028	12.3771	-	-	-	-	G
