MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC63303102_decoys_final_005144.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	82.6594	8.34156	-	-	-	-	G
ZINC63303102_decoys_final_005144.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0130232	63.7893	-	-	-	-	G
ZINC63303102_decoys_final_005144.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-89.7272	0.352274	-	-	-	-	R
ZINC63303102_decoys_final_005144.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	21.1512	2.32303	-	-	-	-	G
ZINC63303102_decoys_final_005144.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-118.182	0.962025	-	-	-	-	G
ZINC63303102_decoys_final_005144.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	141.302	0.053875	-	-	-	-	R
ZINC63182406_decoys_final_001295.pdbqt	B	[N:1][C:2](=O)!@[CX4H2:3][CX4H2:4]	-135.138	3.26975	-	-	-	-	G
ZINC63182406_decoys_final_001295.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	111.139	0.0431	-	-	-	-	R
ZINC63182406_decoys_final_001295.pdbqt	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	-4.27302	15.7822	-	-	-	-	G
ZINC63182406_decoys_final_001295.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	48.4693	0.510705	-	-	-	-	O
ZINC63182406_decoys_final_001295.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	110.178	0.0798855	-	-	-	-	R
ZINC63182406_decoys_final_001295.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	177.723	1.64318	-	-	-	-	G
ZINC39646948_decoys_final_000024.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-54.9156	2.72471	-	-	-	-	G
ZINC39646948_decoys_final_000024.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	150.038	1.40678	-	-	-	-	G
ZINC39646948_decoys_final_000024.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-104.306	5.444	-	-	-	-	G
ZINC39646948_decoys_final_000024.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	5.54426	7.56322	-	-	-	-	G
ZINC39646948_decoys_final_000024.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	-64.1347	2.69113	-	-	-	-	O
ZINC39646986_decoys_final_000025.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	-78.8619	2.06469	-	-	-	-	O
ZINC39646986_decoys_final_000025.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-100.954	1.21428	-	-	-	-	O
ZINC39646986_decoys_final_000025.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	103.634	1.37717	-	-	-	-	O
ZINC39646986_decoys_final_000025.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-134.622	2.0362	-	-	-	-	O
