MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL509729_actives_final_000197.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	89.8765	0.423038	-	-	-	-	O
CHEMBL509729_actives_final_000197.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-103.092	3.12787	-	-	-	-	G
CHEMBL509729_actives_final_000197.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	71.5529	2.34591	-	-	-	-	G
CHEMBL509729_actives_final_000197.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-102.985	0.131154	-	-	-	-	R
CHEMBL509729_actives_final_000197.pdbqt	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	71.2669	0.284091	-	-	-	-	R
CHEMBL509729_actives_final_000197.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-179.563	2.80076	-	-	-	-	G
CHEMBL509729_actives_final_000197.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-169.455	6.19266	-	-	-	-	G
CHEMBL509729_actives_final_000197.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-143.199	3.95967	-	-	-	-	G
CHEMBL509729_actives_final_000197.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-70.2112	9.32584	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	43.877	2.08461	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	175.566	15.0612	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-170.465	7.88261	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	66.6555	2.86076	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[cH1:1][c:2]([cH0])!@[O:3][S:4]	-103.341	3.60825	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[*:1]~[OX2:2]!@[SX4:3]~[*:4]	-99.9633	1.12518	-	-	-	-	O
CHEMBL183552_actives_final_000013.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	18.7358	0.0449438	-	-	-	-	R
CHEMBL183552_actives_final_000013.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	164.385	3.09447	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	6.41735	7.95363	-	-	-	-	G
CHEMBL183552_actives_final_000013.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	131.072	1.42885	-	-	-	-	O
CHEMBL183552_actives_final_000013.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	99.6507	5.66419	-	-	-	-	G
CHEMBL515349_actives_final_000210.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	97.6946	0.295617	-	-	-	-	O
CHEMBL515349_actives_final_000210.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-104.714	3.12787	-	-	-	-	G
