MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC37246166_decoys_final_000704.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	138.585	0.336391	-	-	-	-	O
ZINC37246166_decoys_final_000704.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	31.9145	1.05249	-	-	-	-	O
ZINC36125912_decoys_final_001201.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	-117.657	6.46388	-	-	-	-	G
ZINC36125912_decoys_final_001201.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	-93.5975	1.19863	-	-	-	-	O
ZINC36125912_decoys_final_001201.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	152.239	0.260857	-	-	-	-	R
ZINC12556885_decoys_final_001277.pdbqt	B	[C:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	-164.102	0	-	-	-	-	R
ZINC12556885_decoys_final_001277.pdbqt	B	[!#1:1][CX3:2]!@[SX4:3][!#1:4]	-84.163	11.6848	-	-	-	-	G
ZINC12556885_decoys_final_001277.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH1:4]	87.7451	1.05932	-	-	-	-	O
ZINC67798477_decoys_final_001465.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	87.1729	7.35439	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0391891	63.7893	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	179.997	0.827213	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	77.8543	2.95298	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	28.9289	3.1746	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	90.89	2.51637	-	-	-	-	G
ZINC67798477_decoys_final_001465.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-143.378	2.73595	-	-	-	-	G
ZINC66736420_decoys_final_001612.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-52.0706	0.958827	-	-	-	-	O
ZINC66736420_decoys_final_001612.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	-170.707	0	-	-	-	-	R
ZINC66736420_decoys_final_001612.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0147595	63.7893	-	-	-	-	G
ZINC66736420_decoys_final_001612.pdbqt	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	119.078	0.644517	-	-	-	-	G
ZINC19800208_decoys_final_000913.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	88.9804	3.35653	-	-	-	-	G
ZINC19800208_decoys_final_000913.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	106.579	2.05222	-	-	-	-	G
ZINC19800208_decoys_final_000913.pdbqt	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	8.97399	7.81454	-	-	-	-	G
ZINC19800208_decoys_final_000913.pdbqt	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-80.2938	0	-	-	-	-	R
ZINC19800208_decoys_final_000913.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-103.912	0.510705	-	-	-	-	O
ZINC49741493_decoys_final_001216.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	144.126	0	-	-	-	-	R
ZINC49741493_decoys_final_001216.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH1:4]	-137.814	4.02542	-	-	-	-	G
ZINC49741493_decoys_final_001216.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-23.3663	0.119853	-	-	-	-	R
Molecule 8 could not be initialized.
Molecule 9 could not be initialized.
ZINC04945415_decoys_final_000129.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	88.0417	3.2491	-	-	-	-	G
ZINC04945415_decoys_final_000129.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-104.276	1.21428	-	-	-	-	O
ZINC04945415_decoys_final_000129.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	102.936	0.821142	-	-	-	-	G
ZINC04945415_decoys_final_000129.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	100.276	0.141243	-	-	-	-	R
ZINC09187207_decoys_final_000929.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	92.1733	0.30147	-	-	-	-	R
ZINC09187207_decoys_final_000929.pdbqt	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	114.113	1.42109	-	-	-	-	G
ZINC09187207_decoys_final_000929.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-89.3742	0.488284	-	-	-	-	G
ZINC09187207_decoys_final_000929.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-36.0535	1.55031	-	-	-	-	O
ZINC09187207_decoys_final_000929.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	166.707	8.01049	-	-	-	-	G
ZINC67774090_decoys_final_000792.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-104.127	1.02673	-	-	-	-	G
ZINC67774090_decoys_final_000792.pdbqt	B	[O:1]=[C:2]!@[$([NX3](c([nH1])n)):3][H:4]	179.96	53.1915	-	-	-	-	G
ZINC67774090_decoys_final_000792.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][nH:4]	-59.5968	0	-	-	-	-	R
ZINC67774090_decoys_final_000792.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	37.3013	1.79626	-	-	-	-	G
ZINC67774090_decoys_final_000792.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-98.1408	1.57946	-	-	-	-	G
ZINC68918089_decoys_final_000196.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	92.6159	12.916	-	-	-	-	G
ZINC68918089_decoys_final_000196.pdbqt	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H1:3][H:4]	6.10414	11.0497	-	-	-	-	G
ZINC68918089_decoys_final_000196.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	28.5564	0	-	-	-	-	R
ZINC68918089_decoys_final_000196.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	1.53457	1.53503	-	-	-	-	G
ZINC04267287_decoys_final_000766.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	108.513	4.07738	-	-	-	-	G
ZINC04267287_decoys_final_000766.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-175.818	19.9269	-	-	-	-	G
ZINC04267287_decoys_final_000766.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	89.1557	0.399663	-	-	-	-	O
ZINC62220505_decoys_final_001265.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-33.7862	0.239657	-	-	-	-	G
ZINC62220505_decoys_final_001265.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-72.6051	2.28268	-	-	-	-	G
ZINC62220505_decoys_final_001265.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	-157.716	4.72877	-	-	-	-	G
ZINC62220505_decoys_final_001265.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	6.07551	14.9156	-	-	-	-	G
ZINC62220505_decoys_final_001265.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	46.2036	0.926299	-	-	-	-	O
ZINC61459953_decoys_final_001001.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	47.6179	0.627643	-	-	-	-	G
ZINC61459953_decoys_final_001001.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-105.189	3.13924	-	-	-	-	G
ZINC61459953_decoys_final_001001.pdbqt	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	80.1133	2.24159	-	-	-	-	O
ZINC61459953_decoys_final_001001.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-4.61017	63.7893	-	-	-	-	G
ZINC61459953_decoys_final_001001.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	76.592	0.0201369	-	-	-	-	R
ZINC61459953_decoys_final_001001.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-79.6335	0.0257136	-	-	-	-	R
Molecule 17 could not be initialized.
ZINC01650665_decoys_final_000705.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	61.6855	16.9521	-	-	-	-	G
ZINC01650665_decoys_final_000705.pdbqt	B	[aH0:1][c:2]([aH1])!@[SX4:3][!#1:4]	-173.014	1.321	-	-	-	-	G
ZINC01650665_decoys_final_000705.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3][nX2:4]	42.0934	1.77515	-	-	-	-	R
ZINC59135701_decoys_final_000028.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	109.861	0.0798855	-	-	-	-	R
ZINC59135701_decoys_final_000028.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-92.449	3.39746	-	-	-	-	G
ZINC59135701_decoys_final_000028.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	118.672	1.08861	-	-	-	-	G
ZINC67336342_decoys_final_000188.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0607971	63.7893	-	-	-	-	G
ZINC67336342_decoys_final_000188.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	122.885	0.0686342	-	-	-	-	O
ZINC67336342_decoys_final_000188.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	0.41675	8.26772	-	-	-	-	G
ZINC67336342_decoys_final_000188.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	126.966	1.56706	-	-	-	-	G
ZINC67336342_decoys_final_000188.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	53.7496	1.04258	-	-	-	-	O
