MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL367375_actives_final_000476.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-113.401	2.53786	-	-	-	-	G
CHEMBL367375_actives_final_000476.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH0])[cH,nX2H0:4]	76.4324	0.4884	-	-	-	-	O
CHEMBL74599_actives_final_000493.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL302870_actives_final_000243.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL182993_actives_final_000059.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-103.133	2.93002	-	-	-	-	G
CHEMBL393278_actives_final_000031.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL422045_actives_final_000388.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL183882_actives_final_000195.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-110.587	3.56774	-	-	-	-	G
CHEMBL197846_actives_final_000167.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL274826_actives_final_000485.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL307632_actives_final_000023.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL202007_actives_final_000032.pdbqt	B	[*:1]~[CX4:2]!@[CX3:3]~[*:4]	49.9971	2.75637	-	-	-	-	G
CHEMBL359911_actives_final_000467.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	43.1502	2.37849	-	-	-	-	G
CHEMBL249700_actives_final_000148.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL181674_actives_final_000253.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	48.3897	4.77422	-	-	-	-	G
CHEMBL312500_actives_final_000098.pdbqt	-	-	-	-	-	-	-	-	-
