MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC65999169_decoys_final_004213.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	151.767	2.71301	-	-	-	-	G
ZINC65999169_decoys_final_004213.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	-84.1279	0.00234313	-	-	-	-	R
ZINC65999169_decoys_final_004213.pdbqt	B	[a:1][a:2]!@[CX3:3]=[O:4]	-63.4942	0.753398	-	-	-	-	R
ZINC30823143_decoys_final_004031.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	168.99	6.53184	-	-	-	-	G
ZINC30823143_decoys_final_004031.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	-41.5275	1.48496	-	-	-	-	O
ZINC30823143_decoys_final_004031.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-177.959	3.96197	-	-	-	-	G
ZINC40857693_decoys_final_006660.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-31.9179	1.93298	-	-	-	-	O
ZINC40857693_decoys_final_006660.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	-15.413	3.94079	-	-	-	-	G
ZINC40857693_decoys_final_006660.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	2.55042	14.2319	-	-	-	-	G
ZINC40857693_decoys_final_006660.pdbqt	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	170.464	5.11475	-	-	-	-	G
ZINC64898414_decoys_final_001397.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	20.8647	6.84285	-	-	-	-	G
ZINC64898414_decoys_final_001397.pdbqt	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	0.0732193	15.7822	-	-	-	-	G
ZINC64898414_decoys_final_001397.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	135.016	0.318742	-	-	-	-	R
CHEMBL127983_actives_final_000031.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	134.956	0.231422	-	-	-	-	R
ZINC26462750_decoys_final_004192.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][S:4]	22.3019	0	-	-	-	-	R
ZINC26462750_decoys_final_004192.pdbqt	B	[*:1]~[OX2:2]!@[SX4:3]~[*:4]	29.3422	1.85185	-	-	-	-	O
ZINC26462750_decoys_final_004192.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-19.1472	0.119853	-	-	-	-	R
ZINC14244376_decoys_final_006432.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0804741	63.7893	-	-	-	-	G
ZINC14244376_decoys_final_006432.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-41.208	2.00094	-	-	-	-	R
ZINC14244376_decoys_final_006432.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	174.271	0.148746	-	-	-	-	R
ZINC14244376_decoys_final_006432.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	57.6097	6.22422	-	-	-	-	G
CHEMBL276076_actives_final_000042.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	6.93801	8.48319	-	-	-	-	G
CHEMBL276076_actives_final_000042.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	161.802	4.22778	-	-	-	-	G
CHEMBL276076_actives_final_000042.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-32.1858	1.35545	-	-	-	-	O
ZINC63075477_decoys_final_003807.pdbqt	B	[nX2H0:1][c:2]!@[c:3][nX3H1:4]	-42.1937	0	-	-	-	-	R
ZINC63807559_decoys_final_006116.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3](o)[n:4]	-127.561	0	-	-	-	-	R
ZINC63807559_decoys_final_006116.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0243049	63.7893	-	-	-	-	G
ZINC63807559_decoys_final_006116.pdbqt	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	54.6653	6.35118	-	-	-	-	G
ZINC63807559_decoys_final_006116.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	89.3639	0.167012	-	-	-	-	O
ZINC63807559_decoys_final_006116.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-79.6414	10.7342	-	-	-	-	G
ZINC63807559_decoys_final_006116.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-38.7858	2.04748	-	-	-	-	G
ZINC04093918_decoys_final_004207.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	129.822	4.65357	-	-	-	-	G
ZINC04093918_decoys_final_004207.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	114.603	2.5299	-	-	-	-	G
ZINC04093918_decoys_final_004207.pdbqt	B	[cH1:1][c:2]([cH0])!@[O:3][c:4]	51.4351	1.50538	-	-	-	-	G
ZINC23040832_decoys_final_001884.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	163.352	1.47059	-	-	-	-	R
ZINC23040832_decoys_final_001884.pdbqt	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	-3.318	11.5385	-	-	-	-	G
ZINC23040832_decoys_final_001884.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0270781	63.7893	-	-	-	-	G
ZINC23040832_decoys_final_001884.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	-32.9048	0	-	-	-	-	R
ZINC11348265_decoys_final_006590.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-35.873	2.04748	-	-	-	-	G
ZINC11348265_decoys_final_006590.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-67.2289	2.39814	-	-	-	-	G
ZINC11348265_decoys_final_006590.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	99.7158	1.37717	-	-	-	-	O
ZINC11348265_decoys_final_006590.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-88.5575	7.30446	-	-	-	-	G
ZINC65149760_decoys_final_001053.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	158.174	2.96592	-	-	-	-	G
ZINC65149760_decoys_final_001053.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-40.8558	2.04748	-	-	-	-	O
ZINC65149760_decoys_final_001053.pdbqt	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	168.006	3.81451	-	-	-	-	G
ZINC07495077_decoys_final_003424.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	166.228	8.01049	-	-	-	-	G
ZINC07495077_decoys_final_003424.pdbqt	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	104.358	2.27968	-	-	-	-	G
ZINC07495077_decoys_final_003424.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-31.4497	3.82256	-	-	-	-	O
ZINC07495077_decoys_final_003424.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	160.063	0.127497	-	-	-	-	R
ZINC39893193_decoys_final_003444.pdbqt	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	82.7627	2.42165	-	-	-	-	G
ZINC39893193_decoys_final_003444.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	167.844	0.802139	-	-	-	-	R
ZINC39893193_decoys_final_003444.pdbqt	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	-40.4224	0.019996	-	-	-	-	R
ZINC39893193_decoys_final_003444.pdbqt	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	104.659	7.20382	-	-	-	-	G
