MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC13059231_decoys_final_003120.pdbqt	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	9.47422	3.56157	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0593614	63.7893	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[*:1][$(S(=O)=O):2]!@[NX3H1:3][*:4]	-97.9473	3.71201	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-86.8583	12.5987	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[$([cH0](F)):1][c:2]([cH1])!@[CX3:3]([O,N])=[O:4]	-16.1107	1.35135	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-143.58	2.67138	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	0.850589	7.47259	-	-	-	-	G
ZINC13059231_decoys_final_003120.pdbqt	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-17.1815	4.17476	-	-	-	-	G
ZINC13263786_decoys_final_002353.pdbqt	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	87.2351	2.55552	-	-	-	-	O
ZINC13263786_decoys_final_002353.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	99.1332	0.610655	-	-	-	-	G
ZINC13263786_decoys_final_002353.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	35.2878	0.138997	-	-	-	-	R
ZINC13263786_decoys_final_002353.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	34.3291	2.80888	-	-	-	-	G
ZINC13263786_decoys_final_002353.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	59.5049	4.89486	-	-	-	-	G
ZINC14609180_decoys_final_003571.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	171.873	1.71299	-	-	-	-	O
ZINC14609180_decoys_final_003571.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-107.397	3.0894	-	-	-	-	G
ZINC14609180_decoys_final_003571.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-72.7352	0.931386	-	-	-	-	O
ZINC14609180_decoys_final_003571.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	74.0354	0.452204	-	-	-	-	R
ZINC60059172_decoys_final_000140.pdbqt	B	[cH1:1][a:2]([cH0])!@[a:3]([cH0])[cH0:4]	75.8678	9.65131	-	-	-	-	G
ZINC60059172_decoys_final_000140.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-174.409	5.18308	-	-	-	-	G
ZINC60059172_decoys_final_000140.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	109.866	3.87241	-	-	-	-	G
ZINC60059172_decoys_final_000140.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-112.948	0.770028	-	-	-	-	R
ZINC38971352_decoys_final_000068.pdbqt	B	[!#1:1][CX4r:2]!@[CX4r:3][!#1:4]	-21.8193	0.42125	-	-	-	-	O
ZINC38971352_decoys_final_000068.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	18.3004	3.53082	-	-	-	-	G
ZINC38971352_decoys_final_000068.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	69.5274	0.738081	-	-	-	-	O
ZINC38971352_decoys_final_000068.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-120.98	0	-	-	-	-	R
ZINC09575518_decoys_final_001820.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	10.6216	7.82906	-	-	-	-	G
ZINC09575518_decoys_final_001820.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	62.9476	1.72297	-	-	-	-	O
ZINC09453800_decoys_final_003268.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H1])=[O:4]	152.781	1.21845	-	-	-	-	G
ZINC09453800_decoys_final_003268.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	4.61106	63.7893	-	-	-	-	G
ZINC09453800_decoys_final_003268.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-86.208	0.0604108	-	-	-	-	R
ZINC09453800_decoys_final_003268.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-21.2489	3.00214	-	-	-	-	G
ZINC09453800_decoys_final_003268.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	153.636	1.61014	-	-	-	-	O
ZINC09453800_decoys_final_003268.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	97.4997	1.37717	-	-	-	-	O
ZINC09453800_decoys_final_003268.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	-126.947	1.77927	-	-	-	-	G
ZINC13268987_decoys_final_000891.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	71.1998	0.23546	-	-	-	-	R
ZINC13268987_decoys_final_000891.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-86.6817	1.65296	-	-	-	-	O
ZINC13268987_decoys_final_000891.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	156.583	3.93126	-	-	-	-	G
ZINC22145936_decoys_final_000902.pdbqt	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	9.01526	8.43627	-	-	-	-	G
ZINC22145936_decoys_final_000902.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	73.5146	1.49205	-	-	-	-	O
ZINC09360014_decoys_final_001933.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	-74.2711	4.05197	-	-	-	-	G
ZINC09360014_decoys_final_001933.pdbqt	B	[O:1]=[C:2]!@[$([NX3](c([nH1])n)):3][H:4]	-179.929	53.1915	-	-	-	-	G
ZINC09360014_decoys_final_001933.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][nH:4]	33.4461	0	-	-	-	-	R
ZINC09360014_decoys_final_001933.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-147.557	8.78518	-	-	-	-	G
ZINC09360014_decoys_final_001933.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-115.696	0	-	-	-	-	R
ZINC06269057_decoys_final_003285.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	139.494	6.08365	-	-	-	-	G
ZINC06269057_decoys_final_003285.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	152.886	0.260857	-	-	-	-	R
ZINC06269057_decoys_final_003285.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	108.82	0	-	-	-	-	R
ZINC06269057_decoys_final_003285.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-174.868	10.9457	-	-	-	-	G
ZINC06269057_decoys_final_003285.pdbqt	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	103.611	0	-	-	-	-	R
ZINC06269057_decoys_final_003285.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.053113	63.7893	-	-	-	-	G
ZINC06269057_decoys_final_003285.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-81.6746	1.59085	-	-	-	-	G
ZINC06269057_decoys_final_003285.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-10.3143	8.96138	-	-	-	-	G
