MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL1202231_actives_final_000097.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	73.4008	3.92494	-	-	-	-	G
CHEMBL1202231_actives_final_000097.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	104.83	1.49828	-	-	-	-	O
CHEMBL1202231_actives_final_000097.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-166.466	1.70087	-	-	-	-	O
CHEMBL1202231_actives_final_000097.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-113.955	0.203874	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-108.358	1.04084	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	144.042	1.69481	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-137.492	1.61199	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	89.6615	2.69822	-	-	-	-	G
CHEMBL1089434_actives_final_000122.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	127.313	1.8443	-	-	-	-	G
CHEMBL1089434_actives_final_000122.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	30.7176	0.744139	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-114.999	0.203874	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-31.701	1.35545	-	-	-	-	O
CHEMBL1089434_actives_final_000122.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-129.8	0.94357	-	-	-	-	O
CHEMBL1091591_actives_final_000067.pdbqt	B	[C:1][CX4:2]!@[NX3:3][C:4]	-131.515	1.80242	-	-	-	-	G
CHEMBL1091591_actives_final_000067.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	107.324	0.0798855	-	-	-	-	R
CHEMBL1091591_actives_final_000067.pdbqt	B	[CX4:1][CX4H2:2]!@[NX3;"N_lp":3][CX4:4]	-95.2095	1.30653	-	-	-	-	G
CHEMBL1091591_actives_final_000067.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-168.295	4.99969	-	-	-	-	G
CHEMBL1092637_actives_final_000088.pdbqt	B	[CX4:1][CX4H2:2]!@[NX3:3][CX4:4]	-98.6675	4.61368	-	-	-	-	G
CHEMBL1092637_actives_final_000088.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	138.73	0.200782	-	-	-	-	R
CHEMBL1092637_actives_final_000088.pdbqt	B	[CX4:1][CX4H2:2]!@[NX3;"N_lp":3][CX4:4]	-94.7606	2.35176	-	-	-	-	G
CHEMBL1092637_actives_final_000088.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	128.912	0.925188	-	-	-	-	O
CHEMBL1092637_actives_final_000088.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	101.328	0.196083	-	-	-	-	R
CHEMBL1092637_actives_final_000088.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-125.502	0.163099	-	-	-	-	O
CHEMBL18442_actives_final_000014.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-40.5404	1.62815	-	-	-	-	O
CHEMBL18442_actives_final_000014.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	100.82	5.66419	-	-	-	-	G
CHEMBL18442_actives_final_000014.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	179.568	15.0612	-	-	-	-	G
CHEMBL18442_actives_final_000014.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	130.104	0.994431	-	-	-	-	O
CHEMBL1094864_actives_final_000075.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	87.2969	7.74238	-	-	-	-	G
CHEMBL1094864_actives_final_000075.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	169.423	3.90545	-	-	-	-	G
CHEMBL1094864_actives_final_000075.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-118.934	0.981172	-	-	-	-	O
CHEMBL1094864_actives_final_000075.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	89.4318	2.43858	-	-	-	-	G
CHEMBL1094864_actives_final_000075.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	129.244	1.69092	-	-	-	-	O
CHEMBL1094864_actives_final_000075.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0618495	63.7893	-	-	-	-	G
CHEMBL1094864_actives_final_000075.pdbqt	B	N[C:2](=[O:1])!@[CH2:3][N:4]	140.586	1.19048	-	-	-	-	G
CHEMBL1094864_actives_final_000075.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	132.104	0.198777	-	-	-	-	O
CHEMBL477121_actives_final_000099.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-111.454	1.04084	-	-	-	-	O
CHEMBL477121_actives_final_000099.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-56.4955	2.68665	-	-	-	-	G
CHEMBL477121_actives_final_000099.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	126.759	1.8443	-	-	-	-	G
CHEMBL477121_actives_final_000099.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1;"N_lp":3][!#1:4]	156.471	4.64098	-	-	-	-	G
CHEMBL477121_actives_final_000099.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1;"N_lp":3][!#1:4]	-133.91	1.48862	-	-	-	-	O
CHEMBL477121_actives_final_000099.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-171.898	1.70087	-	-	-	-	O
CHEMBL1092324_actives_final_000080.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	147.676	2.79767	-	-	-	-	G
CHEMBL1092324_actives_final_000080.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-147.237	2.87059	-	-	-	-	G
CHEMBL1092324_actives_final_000080.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	32.8813	1.34333	-	-	-	-	O
CHEMBL1092324_actives_final_000080.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-57.512	2.68665	-	-	-	-	G
CHEMBL1092324_actives_final_000080.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-38.2046	1.62815	-	-	-	-	O
CHEMBL1092324_actives_final_000080.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-152.558	2.91649	-	-	-	-	G
CHEMBL1093008_actives_final_000019.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-122.167	0.981172	-	-	-	-	O
CHEMBL1093008_actives_final_000019.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-150.701	1.43885	-	-	-	-	O
CHEMBL1093008_actives_final_000019.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-146.86	1.43885	-	-	-	-	O
CHEMBL1093008_actives_final_000019.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	143.67	1.33254	-	-	-	-	G
CHEMBL1093008_actives_final_000019.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-31.9028	1.35545	-	-	-	-	O
CHEMBL1093008_actives_final_000019.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-142.361	1.4031	-	-	-	-	G
CHEMBL1096504_actives_final_000052.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][C:4]	-82.8767	2.98812	-	-	-	-	G
CHEMBL1096504_actives_final_000052.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	144.225	2.92683	-	-	-	-	G
CHEMBL1096504_actives_final_000052.pdbqt	B	[C:1][CX4H2:2]!@[NX3;"N_lp":3][C:4]	-105.586	1.07226	-	-	-	-	O
CHEMBL1096504_actives_final_000052.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-160.962	4.58918	-	-	-	-	G
CHEMBL1096504_actives_final_000052.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-112.223	0.0377125	-	-	-	-	R
CHEMBL1096504_actives_final_000052.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	133.794	0.032325	-	-	-	-	R
CHEMBL1096504_actives_final_000052.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-18.6783	0.29052	-	-	-	-	O
CHEMBL1089845_actives_final_000008.pdbqt	B	[C:1][CX4H2:2]!@[NX3;"N_lp":3][C:4]	126.323	0.777001	-	-	-	-	O
CHEMBL1089845_actives_final_000008.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-56.5789	5.17104	-	-	-	-	G
CHEMBL1089845_actives_final_000008.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-57.1886	2.68665	-	-	-	-	G
CHEMBL1089845_actives_final_000008.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-118.963	9.03499	-	-	-	-	G
CHEMBL1089845_actives_final_000008.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-42.2051	0.19088	-	-	-	-	R
CHEMBL1089845_actives_final_000008.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-121.046	0.778139	-	-	-	-	O
CHEMBL577268_actives_final_000020.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	78.9995	5.82781	-	-	-	-	G
CHEMBL577268_actives_final_000020.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	114.535	3.25117	-	-	-	-	O
CHEMBL577268_actives_final_000020.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-24.2091	0.0132591	-	-	-	-	R
CHEMBL577268_actives_final_000020.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-116.654	0.778139	-	-	-	-	O
CHEMBL577268_actives_final_000020.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	144.069	0.053875	-	-	-	-	R
CHEMBL577268_actives_final_000020.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-99.7833	0.0754249	-	-	-	-	R
CHEMBL462588_actives_final_000071.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	112.939	3.86228	-	-	-	-	O
CHEMBL462588_actives_final_000071.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	125.931	0.710795	-	-	-	-	O
CHEMBL462588_actives_final_000071.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	173.999	3.2172	-	-	-	-	G
CHEMBL462588_actives_final_000071.pdbqt	B	[C:1][CX4:2]!@[NX3:3][C:4]	-74.6006	6.75957	-	-	-	-	G
CHEMBL462588_actives_final_000071.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	158.929	1.81259	-	-	-	-	G
CHEMBL462588_actives_final_000071.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-67.9412	8.91456	-	-	-	-	G
CHEMBL462588_actives_final_000071.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][!#1:4]	-65.5346	0.805938	-	-	-	-	R
CHEMBL462588_actives_final_000071.pdbqt	B	[C:1][CX4:2]!@[NX3:3][C:4]	140.6	1.83977	-	-	-	-	G
CHEMBL518501_actives_final_000043.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	179.992	2.80076	-	-	-	-	G
CHEMBL518501_actives_final_000043.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	93.0818	2.80893	-	-	-	-	G
CHEMBL518501_actives_final_000043.pdbqt	B	[C:1][CX4:2]!@[NX3:3][C:4]	128.549	1.90267	-	-	-	-	O
CHEMBL518501_actives_final_000043.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-94.478	3.00607	-	-	-	-	O
CHEMBL518501_actives_final_000043.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-126.099	0.666371	-	-	-	-	O
