MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL248120_actives_final_000008.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-60.0291	5.93207	-	-	-	-	G
CHEMBL248120_actives_final_000008.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-55.2229	5.93207	-	-	-	-	G
CHEMBL248120_actives_final_000008.pdbqt	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	79.4177	3.74532	-	-	-	-	G
CHEMBL248120_actives_final_000008.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	82.9826	0.691754	-	-	-	-	R
CHEMBL248120_actives_final_000008.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	20.4311	2.74909	-	-	-	-	G
CHEMBL248120_actives_final_000008.pdbqt	B	[OH1:1][CX4:2]!@[CX3:3]=[O:4]	-1.57508	16.8405	-	-	-	-	G
CHEMBL248120_actives_final_000008.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-71.1879	3.16456	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-62.7391	5.93207	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-56.9889	5.93207	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	-115.048	5.11817	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[c:1][c:2]!@[c:3][$(c!@c):4]	70.3136	4.9773	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	127.786	0.273742	-	-	-	-	R
CHEMBL247529_actives_final_000038.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-75.8896	0.39093	-	-	-	-	R
CHEMBL247529_actives_final_000038.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	24.1946	5.53919	-	-	-	-	G
CHEMBL247529_actives_final_000038.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-87.9611	18.481	-	-	-	-	G
