MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC01882960_decoys_final_001934.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	48.1889	5.47401	-	-	-	-	G
ZINC01882960_decoys_final_001934.pdbqt	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	-34.448	1.8222	-	-	-	-	O
ZINC01882960_decoys_final_001934.pdbqt	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	79.5437	0.0830017	-	-	-	-	R
ZINC01882960_decoys_final_001934.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H2:4]	176.35	4.26621	-	-	-	-	G
ZINC01882960_decoys_final_001934.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	62.3813	0	-	-	-	-	R
ZINC66334746_decoys_final_003623.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	-4.11637	41.1343	-	-	-	-	G
ZINC66334746_decoys_final_003623.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	0.0348728	41.1343	-	-	-	-	G
ZINC66334746_decoys_final_003623.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-171.558	0.56243	-	-	-	-	R
ZINC66334746_decoys_final_003623.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-112.603	2.0374	-	-	-	-	G
ZINC66334746_decoys_final_003623.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-143.218	2.85944	-	-	-	-	G
ZINC66334746_decoys_final_003623.pdbqt	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-115.216	0	-	-	-	-	R
ZINC66334746_decoys_final_003623.pdbqt	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	-17.2371	7.77431	-	-	-	-	G
ZINC66334746_decoys_final_003623.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	87.0085	0.504518	-	-	-	-	G
ZINC35381073_decoys_final_001180.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	20.997	2.74909	-	-	-	-	G
ZINC35381073_decoys_final_001180.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	37.2777	4.12015	-	-	-	-	G
ZINC23399789_decoys_final_002046.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	20.6381	4.79973	-	-	-	-	G
ZINC23399789_decoys_final_002046.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	171.745	5.70846	-	-	-	-	G
ZINC23399789_decoys_final_002046.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-32.1162	0.239657	-	-	-	-	G
ZINC04818929_decoys_final_001526.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-3.48302	6.89233	-	-	-	-	G
ZINC04818929_decoys_final_001526.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	117.087	0.410277	-	-	-	-	R
ZINC04818929_decoys_final_001526.pdbqt	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	-62.5034	3.51406	-	-	-	-	G
ZINC04818929_decoys_final_001526.pdbqt	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	122.881	0	-	-	-	-	R
ZINC45689579_decoys_final_001761.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	96.2208	0.0604108	-	-	-	-	R
ZINC45689579_decoys_final_001761.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	5.44334	17.9922	-	-	-	-	G
ZINC45689579_decoys_final_001761.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	-0.0991158	41.1343	-	-	-	-	G
ZINC45689579_decoys_final_001761.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	78.8895	0.441919	-	-	-	-	R
ZINC45689579_decoys_final_001761.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-50.4377	4.09224	-	-	-	-	G
ZINC45689579_decoys_final_001761.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	6.77782	9.86127	-	-	-	-	G
ZINC38802784_decoys_final_002176.pdbqt	B	[*:1]~[cX3:2]!@[NX2:3]~[*:4]	-120.566	1.40635	-	-	-	-	O
ZINC38802784_decoys_final_002176.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-95.4822	1.57946	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-104.317	5.40796	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-110.831	3.56774	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-27.0966	0.239657	-	-	-	-	O
ZINC33638388_decoys_final_003668.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	97.4861	0.592386	-	-	-	-	O
ZINC33638388_decoys_final_003668.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	171.779	9.33114	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-104.913	0.0754249	-	-	-	-	R
ZINC33638388_decoys_final_003668.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-160.76	3.10958	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.272399	63.7893	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	161.904	2.70565	-	-	-	-	G
ZINC33638388_decoys_final_003668.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	102.7	0	-	-	-	-	R
ZINC58884682_decoys_final_001314.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-81.3185	0.0402739	-	-	-	-	R
ZINC58884682_decoys_final_001314.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-68.89	0.0402739	-	-	-	-	R
ZINC58884682_decoys_final_001314.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	-5.18942	20.2086	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	0.0165033	41.1343	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-53.1316	3.20585	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-116.03	3.08052	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	-4.3871	41.1343	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	5.13015	17.9922	-	-	-	-	G
ZINC58884682_decoys_final_001314.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	93.0085	0.0402739	-	-	-	-	R
ZINC13450202_decoys_final_001544.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	48.2671	0.918977	-	-	-	-	G
ZINC13450202_decoys_final_001544.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]=[O:4]	90.4316	0.524246	-	-	-	-	R
ZINC13450202_decoys_final_001544.pdbqt	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	156.574	0	-	-	-	-	R
ZINC13450202_decoys_final_001544.pdbqt	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	80.6491	7.88153	-	-	-	-	G
ZINC13450202_decoys_final_001544.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-101.204	0	-	-	-	-	R
ZINC25002281_decoys_final_000218.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	28.3848	9.46757	-	-	-	-	G
ZINC25002281_decoys_final_000218.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	59.6101	3.42939	-	-	-	-	G
ZINC25002281_decoys_final_000218.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-53.6555	4.09224	-	-	-	-	G
ZINC25002281_decoys_final_000218.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0871915	63.7893	-	-	-	-	G
ZINC25002281_decoys_final_000218.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	53.2517	1.21951	-	-	-	-	O
ZINC39361772_decoys_final_003605.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	94.1273	0.504518	-	-	-	-	O
ZINC39361772_decoys_final_003605.pdbqt	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-96.0627	3.21616	-	-	-	-	G
ZINC39361772_decoys_final_003605.pdbqt	B	[CH0:1][NX3:2]([CH1])!@[c:3][a:4]	-106.02	2.53566	-	-	-	-	G
ZINC39361772_decoys_final_003605.pdbqt	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	108.395	0.564759	-	-	-	-	R
ZINC39361772_decoys_final_003605.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-104.281	5.444	-	-	-	-	G
