MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC25479817_decoys_final_004617.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	138.843	2.15443	-	-	-	-	G
ZINC25479817_decoys_final_004617.pdbqt	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	-129.659	0.194078	-	-	-	-	G
ZINC25479817_decoys_final_004617.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	78.0621	9.73632	-	-	-	-	G
ZINC20442806_decoys_final_002781.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	0.339806	20.0453	-	-	-	-	G
ZINC20442806_decoys_final_002781.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-71.0204	2.25637	-	-	-	-	G
ZINC20442806_decoys_final_002781.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	25.5281	0.264964	-	-	-	-	O
ZINC20442806_decoys_final_002781.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-131.731	0	-	-	-	-	R
ZINC20442806_decoys_final_002781.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	69.935	3.92494	-	-	-	-	G
ZINC20442806_decoys_final_002781.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-0.0795675	25.0866	-	-	-	-	G
ZINC08972332_decoys_final_000767.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX4:3][!#1:4]	-63.555	1.81564	-	-	-	-	G
ZINC08972332_decoys_final_000767.pdbqt	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H2:3][!#1:4]	161.66	6.86695	-	-	-	-	G
ZINC08972332_decoys_final_000767.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-19.4914	1.21606	-	-	-	-	O
ZINC08972332_decoys_final_000767.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][C:4]	152.269	0	-	-	-	-	R
ZINC08972332_decoys_final_000767.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	93.8171	12.916	-	-	-	-	G
ZINC08972332_decoys_final_000767.pdbqt	B	[!#1:1][CX4:2]!@[SX4:3][!#1:4]	142.432	0.631579	-	-	-	-	R
ZINC08972332_decoys_final_000767.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-137.686	0.959233	-	-	-	-	G
ZINC63824412_decoys_final_001920.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	-155.991	4.72877	-	-	-	-	G
ZINC63824412_decoys_final_001920.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	-42.0761	1.96241	-	-	-	-	O
ZINC63824412_decoys_final_001920.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	150.677	2.6253	-	-	-	-	G
ZINC63824412_decoys_final_001920.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-48.7209	0.649045	-	-	-	-	O
ZINC39449586_decoys_final_003474.pdbqt	B	[H:1][CX4H1:2]!@[O:3][CX4:4]	53.6424	13.0793	-	-	-	-	G
