MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC14241494_decoys_final_000832.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-99.8028	0.0402739	-	-	-	-	R
ZINC14241494_decoys_final_000832.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.18832	14.9156	-	-	-	-	G
ZINC14241494_decoys_final_000832.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	68.2146	2.43053	-	-	-	-	G
ZINC14241494_decoys_final_000832.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	1.88887	23.6549	-	-	-	-	G
ZINC14241494_decoys_final_000832.pdbqt	B	[a:1][c:2]!@[C:3]([NH0])=[O:4]	-81.7815	2.86111	-	-	-	-	G
ZINC20577630_decoys_final_005505.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3](s)[n:4]	-106.98	0	-	-	-	-	R
ZINC20577630_decoys_final_005505.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0695695	63.7893	-	-	-	-	G
ZINC20577630_decoys_final_005505.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-49.0037	0.274537	-	-	-	-	R
ZINC20577630_decoys_final_005505.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-170.141	1.78028	-	-	-	-	G
ZINC20577630_decoys_final_005505.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	36.6891	2.94489	-	-	-	-	G
ZINC20577630_decoys_final_005505.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	19.8409	1.25819	-	-	-	-	G
